Ã¯Â»Â¿Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000188993517,9/6/2022,9/7/2022,7108,2007 E 13TH ST #2 AUSTIN TX 78702-1707,Austin,Texas,,,,false
zcrm_1781014000188937130,9/6/2022,9/6/2022,2493,605 Cr 3820,San Antonio,Texas,,,,false
zcrm_1781014000188937063,9/6/2022,9/6/2022,230384,11428 Fullerton Place Dr NW,Huntersville,North Carolina,,,,false
zcrm_1781014000188768109,9/5/2022,9/5/2022,192020,5411 Kings Manor Drive,Lake Dallas,Texas,,,,false
zcrm_1781014000188749111,9/5/2022,9/7/2022,330404,615 Ridge View Dr,San Antonio,Texas,,,,false
zcrm_1781014000188643083,9/5/2022,9/6/2022,196910,6011 Leigh Canyon Dr,Friendswood,Texas,,,,false
zcrm_1781014000188623761,9/5/2022,9/5/2022,180478,58 Mound Avenue,Factoryville,Pennsylvania,,,,false
zcrm_1781014000188513447,9/3/2022,9/12/2022,23300,1205 Elm Street Unit #2,Austin,Texas,,,,false
zcrm_1781014000188352436,9/2/2022,9/4/2022,23042,1900 Scofield Ridge Pkwy Unit #4603,Austin,Texas,,,,false
zcrm_1781014000188311378,9/2/2022,9/9/2022,130053,1413 Holly St #B,Houston,Texas,,,,false
zcrm_1781014000188290633,9/2/2022,9/2/2022,112122,3400 Addison dt,Killeen,Texas,,,,false
zcrm_1781014000188290464,9/2/2022,9/5/2022,178664,84 Thunder Canyon,Boerne,Texas,,,,false
zcrm_1781014000188269045,9/1/2022,9/1/2022,252467,133 County Road 2340,Mount Pleasant,Texas,,,,false
zcrm_1781014000188245945,9/1/2022,9/1/2022,245277,4206 Flora Dr,Pasadean,Texas,,,,false
zcrm_1781014000188235343,9/1/2022,9/2/2022,314575,8116 Limpkin Court,San Antonio,Texas,,,,false
zcrm_1781014000188230661,9/1/2022,9/2/2022,366833,1706 Ninth,Terrell,Texas,,,,false
zcrm_1781014000188219952,9/1/2022,9/8/2022,143400,"6102 Seawall Blvd., #272",Galveston,Texas,,,,false
zcrm_1781014000188215902,9/1/2022,9/1/2022,171819,1872 ROBERTS ST,BEAUMONT,Texas,,,,false
zcrm_1781014000188213258,9/1/2022,9/7/2022,255071,951 Racelad Rd,San Antonio,Texas,,,,false
zcrm_1781014000188024844,9/1/2022,9/1/2022,,DEV = Incididunt earum cum 77344,Do exercitation inci,,,,,false
zcrm_1781014000187988222,8/31/2022,8/31/2022,226242,320-322 North Ave,Sanford,North Carolina,"Oct 4, 2022",,,false
zcrm_1781014000187987636,8/31/2022,9/1/2022,131723,618 FM 145,Farwell,Texas,,,,false
zcrm_1781014000187967627,8/31/2022,8/31/2022,ID:8482a22d-9704-486c-881f-1c017836cb17,West Avenue J 10 93534,Lancaster,California,"Sep 30, 2022",,,false
zcrm_1781014000187963934,8/31/2022,8/31/2022,130059,14343 Judson Rd #803,San Antonio,Texas,"Sep 15, 2022",,,false
zcrm_1781014000187960077,8/31/2022,9/6/2022,3060,13107 Hunters Valley St.,San Antonio,Texas,,,,false
zcrm_1781014000187827258,8/31/2022,8/31/2022,323854,1365 W Groesbeck,Stephenville,Texas,,,,false
zcrm_1781014000187772957,8/31/2022,8/31/2022,290725,168 Spyglass Park Lane,Montgomery,Texas,,,,false
zcrm_1781014000187759916,8/30/2022,9/5/2022,119603,6189 Four Post Lane,Terrell,Texas,,,,false
zcrm_1781014000187502379,8/30/2022,8/30/2022,162318,2409 County Road 809B,Cleburne,Texas,,,,false
zcrm_1781014000187453561,8/30/2022,8/30/2022,36298,18617 Egret Bay Blvd #306,Houston,Texas,,,,false
zcrm_1781014000187452858,8/30/2022,8/30/2022,97202,2226 Rt 6,Hawley,Pennsylvania,,,,false
zcrm_1781014000187441672,8/30/2022,9/1/2022,294675,4210 Scarlett Sage Ct,Katy,Texas,,,,false
zcrm_1781014000187357657,8/29/2022,8/30/2022,743,4673 Rackowitz Road,Adkins,Texas,,,,false
zcrm_1781014000187180239,8/29/2022,8/29/2022,1157,645 CR 404,Seminole,Texas,,,,false
zcrm_1781014000187160590,8/29/2022,9/6/2022,33115,5311 Brazos Ct,Midland,Texas,,,,false
zcrm_1781014000187046663,8/29/2022,9/6/2022,48486,3839 Dry Creek Dr. #224,Austin,Texas,,,,false
zcrm_1781014000186971008,8/28/2022,8/30/2022,61678,1634 Winding Canyon Court,Katy,Texas,,,,false
zcrm_1781014000186837728,8/28/2022,8/28/2022,268330,750 n Fortune 500,Odessa,Texas,,,,false
zcrm_1781014000186778172,8/27/2022,9/2/2022,287507,201 S Old Highway 81,Kyle,Texas,,,,false
zcrm_1781014000186768222,8/27/2022,9/15/2022,210696,427 Frankling St,Reading,Pennsylvania,,,,false
zcrm_1781014000186673750,8/26/2022,8/26/2022,58163,207 E Harwood Road Unit #18,Euless,Texas,,,,false
zcrm_1781014000186671544,8/26/2022,9/6/2022,21545,930 CR 357,Gause,Texas,,,,false
zcrm_1781014000186656950,8/26/2022,8/31/2022,86305,102 Beartrap Mountain Rd,Greentown,Pennsylvania,,,,false
zcrm_1781014000186650018,8/26/2022,8/28/2022,118500,1900 Barton Springs #2045,Austin,Texas,,,,false
zcrm_1781014000186248068,8/25/2022,8/28/2022,107926,21539 George Wayne Way,Spring,Texas,,,,false
zcrm_1781014000186243659,8/25/2022,8/25/2022,36298,3312 Sealy St,Galveston,Texas,,,,false
zcrm_1781014000186238332,8/25/2022,8/25/2022,64902,3107 Rampart,Killeen,Texas,,,,false
zcrm_1781014000186229232,8/25/2022,8/29/2022,40334,13609 County Road 480,Anna,Texas,,,,false
zcrm_1781014000186123440,8/25/2022,8/26/2022,207182,8855 Jason Dr,Orange,Texas,,,,false
zcrm_1781014000185779535,8/25/2022,9/6/2022,131196,4040 Avondale #402,Dallas,Texas,,,,false
zcrm_1781014000185755764,8/24/2022,8/28/2022,21148,1628 Edge Hill Rd.,Benbrook,Texas,,,,false
zcrm_1781014000185689300,8/24/2022,2/22/1982,ID:6eea3b8b-6871-4402-a23b-826503d5284d,868 Milton 94607-3446,Oakland,California,"Sep 9, 2022",,,false
zcrm_1781014000185677453,8/24/2022,8/29/2022,275099,"2660 Augusta Dr, D211",Houston,Texas,,,,false
zcrm_1781014000185676397,8/24/2022,8/24/2022,3554,22255 ROBERTS CEMETERY RD OFFICE/ACTIVITY BLDG,HOCKELY,Texas,,,,false
zcrm_1781014000185674161,8/24/2022,8/24/2022,101761,208 Carone Dr,Cogan Station,Pennsylvania,,,,false
zcrm_1781014000185543169,8/24/2022,8/24/2022,,Street Industry No.1 800200,Portland,,,,,false
zcrm_1781014000185461368,8/23/2022,8/24/2022,34124,1343 CR 4818,Kempner,Texas,,,,false
zcrm_1781014000185460215,8/23/2022,8/23/2022,ID:d0531268-40d1-4446-ae1c-43313dace9fb,21824 Dolores Street 94596,Castro Valley,California,,,,false
zcrm_1781014000185436777,8/23/2022,8/24/2022,92503,313 Creamery Road Rear,Jermyn,Pennsylvania,,,,false
zcrm_1781014000185220425,8/22/2022,8/24/2022,78199,297 Echo Lake rd,Tobyhanna,Pennsylvania,,,,false
zcrm_1781014000185209692,8/22/2022,8/22/2022,118293,1099 tawakoni rd,Wills Point,Texas,,,,false
zcrm_1781014000185167650,8/22/2022,8/25/2022,363800,5201 Valleyside Dr,Fort Worth,Texas,,,,false
zcrm_1781014000185027124,8/22/2022,8/24/2022,175959,300 CR 290,Leander,Texas,,,,false
zcrm_1781014000185003332,8/22/2022,9/11/2022,5540,13138 Humphreys Drive,Austin,Texas,,,,false
zcrm_1781014000184952373,8/21/2022,8/22/2022,211828,113 Outer Drive,Dingmans Ferry,Pennsylvania,,,,false
zcrm_1781014000184889489,8/20/2022,8/23/2022,212850,610 arapahoe,Harker Heights,Texas,,,,false
zcrm_1781014000184888132,8/20/2022,8/21/2022,97090,3407 Bluebird,Bushkill,Pennsylvania,,,,false
zcrm_1781014000184882607,8/20/2022,8/21/2022,19496,2323 Paige Place,Grand Prairie,Texas,,,,false
zcrm_1781014000184600098,8/19/2022,8/22/2022,43534,2900 Sand Hill Circle,Midland,Texas,,,,false
zcrm_1781014000184394393,8/19/2022,9/8/2022,84414,313 East Highland Ave,Ebensburg,Pennsylvania,,,,false
zcrm_1781014000184381897,8/19/2022,8/22/2022,22824,7409 Shadow Hill #105,Austin,Texas,,,,false
zcrm_1781014000184278470,8/18/2022,8/22/2022,64330,6646 E Lovers Ln #306,Dallas,Texas,"Sep 22, 2022",,,false
zcrm_1781014000184168023,8/18/2022,8/20/2022,119799,4845 Cedar Springs Rd. #363,Dallas,Texas,,,,false
zcrm_1781014000184016653,8/18/2022,8/22/2022,,141 Sundance Cir.,Waxahachie,,,,,false
zcrm_1781014000183892239,8/17/2022,8/17/2022,3192,18755 Tejada Rd,San Antonio,Texas,,,,false
zcrm_1781014000183829541,8/17/2022,8/17/2022,64456,2036 Williams Lakeshore Dr,Kingsland,Texas,,,,false
zcrm_1781014000183824074,8/17/2022,8/18/2022,89494,243 Trout Creek Drive,Pocono lake,Pennsylvania,,,,false
zcrm_1781014000183821036,8/17/2022,8/23/2022,70089,3801 White Hart Drive,Fort Worth,Texas,"Oct 12, 2022",,,false
zcrm_1781014000183809764,8/17/2022,8/17/2022,179603,432 Cross Ridge Circle N,Fort Worth,Texas,,,,false
zcrm_1781014000183808030,8/17/2022,8/22/2022,129173,308 Townfork,Cibolo,Texas,,,,false
zcrm_1781014000183807909,8/17/2022,8/17/2022,3765,17740 CR 4307,Larue,Texas,,,,false
zcrm_1781014000183705634,8/17/2022,8/17/2022,41869,3812 Fern Ridge Dr.,Longview,Texas,,,,false
zcrm_1781014000183686152,8/17/2022,9/6/2022,189710,1712 Wallace St Unit #102,Philadelphia,Pennsylvania,,,,false
zcrm_1781014000183653717,8/17/2022,9/2/2022,218927,902 Silverton Dr,Midland,Texas,,,,false
zcrm_1781014000183505171,8/17/2022,8/17/2022,163915,797 St Hwy 97 East,Floresville,Texas,,,,false
zcrm_1781014000183473602,8/16/2022,8/16/2022,8728,4301 Brookhollow Lane,Colleyville,Texas,,,,false
zcrm_1781014000183470647,8/16/2022,8/18/2022,262345,904 Sandy Hill Rd,Burleson,Texas,"Sep 27, 2022",,,false
zcrm_1781014000183468027,8/16/2022,8/17/2022,7335,1801 Dover Creek Rd,Aubrey,Texas,,,,false
zcrm_1781014000183457089,8/16/2022,8/16/2022,62435,6102 Sewall Blvd #238,Galveston,Texas,,,,false
zcrm_1781014000183457073,8/16/2022,8/16/2022,323854,1365 W Groesbeck St,Stephenville,Texas,,,,false
zcrm_1781014000183453477,8/16/2022,8/20/2022,91031,426 and 424 E Logan Street,Bellefonte,Pennsylvania,,,,false
zcrm_1781014000183431323,8/16/2022,8/18/2022,68483,509 Endicott Drive,Sherman,Texas,,,,false
zcrm_1781014000183286150,8/16/2022,8/16/2022,198607,8419 Greenridge Manor Court,Spring,Texas,,,,false
zcrm_1781014000183280420,8/16/2022,8/25/2022,18870,579 County Road 339,Jourdanton,Texas,,,,false
zcrm_1781014000183260414,8/16/2022,8/16/2022,211793,S-643 Blue Jay Drive,Covington Township,Pennsylvania,,,,false
zcrm_1781014000183246224,8/15/2022,8/16/2022,ID:90b3cefd-69cd-4e16-adba-04ca2b778ddc,4320 West Lake Mead Boulevard #101 89108,Las Vegas,Nevada,"Nov 30, 2022",,,false
zcrm_1781014000183133439,8/15/2022,8/15/2022,6759,1001 Liberty Street #117,Dallas,Texas,"Sep 30, 2022",,,false
zcrm_1781014000183068161,8/14/2022,8/15/2022,142620,303 Woodward St #32,Austin,Texas,,,,false
zcrm_1781014000183066442,8/14/2022,8/14/2022,53984,2726 Dominico Ln,League City,Texas,,,,false
zcrm_1781014000182996384,8/13/2022,8/22/2022,95949,1474 Sullivan Trail,Tannersville,Pennsylvania,,,,false
zcrm_1781014000182926457,8/12/2022,8/12/2022,63079,1308 Cyrus McCormick,Schertz,Texas,,,,false
zcrm_1781014000182922329,8/12/2022,8/17/2022,353245,4061 VZ County Road 3501,Wills Point,Texas,,,,false
zcrm_1781014000182779440,8/12/2022,8/12/2022,336741,19079 Gainesway Drive,Flint,Texas,,,,false
zcrm_1781014000182759924,8/12/2022,8/12/2022,86078,733 Theresia St,St Marys,Pennsylvania,,,,false
zcrm_1781014000182553310,8/11/2022,8/13/2022,266831,Courtland Pl. Back House,San Antonio,Texas,,,,false
zcrm_1781014000182519674,8/11/2022,8/13/2022,279171,2775 Enclave Drove,Frisco,Texas,,,,false
zcrm_1781014000182517268,8/11/2022,8/11/2022,33708,236 Tawny Bark Drive,Mooresville,North Carolina,,,,false
zcrm_1781014000182418277,8/11/2022,8/11/2022,212319,10855 Meadowglen Lane #933,Houston,Texas,,,,false
zcrm_1781014000182380172,8/11/2022,8/12/2022,33630,"2255 Braeswood Park Dr, #325",Houston,Texas,,,,false
zcrm_1781014000182195560,8/10/2022,8/11/2022,51770,801 Luther Street #1303,College Station,Texas,,,,false
zcrm_1781014000182195522,8/10/2022,8/10/2022,507,107 Greystone - Main,Boerne,Texas,,,,false
zcrm_1781014000182185120,8/10/2022,8/13/2022,29942,18525 County Rd. 5722,Castroville,Texas,,,,false
zcrm_1781014000182181880,8/10/2022,8/10/2022,232741,712 N David St.,West,Texas,,,,false
zcrm_1781014000182178461,8/10/2022,8/12/2022,69560,4508 Duval Rd #204,Austin,Texas,,,,false
zcrm_1781014000182101340,8/10/2022,8/10/2022,265258,118 Jordan lp,Nolanville,Texas,,,,false
zcrm_1781014000181911861,8/10/2022,8/12/2022,241985,618 VZCR 3416,Wills Point,Texas,,,,false
zcrm_1781014000181907292,8/10/2022,8/28/2022,114488,2728 Reagan Street #101,Dallas,Texas,,,,false
zcrm_1781014000181842751,8/9/2022,8/10/2022,ID:d549c057-89eb-4e61-8d8a-19ca43da8620,"26188 9th St, Highland CA 92346-3403 92346-3403",Highland,California,"Oct 3, 2022",,,false
zcrm_1781014000181841428,8/9/2022,8/10/2022,49928,1900 Little Elm Trail #15,Cedar Park,Texas,,,,false
zcrm_1781014000181831859,8/9/2022,8/9/2022,195525,805 CHESNUT,COLORADO CITY,Texas,,,,false
zcrm_1781014000181823104,8/9/2022,8/10/2022,219069,6144 N FM 157,Venus,Texas,,,,false
zcrm_1781014000181795775,8/9/2022,8/10/2022,57228,4231 Fox Glen Drive,Balch Springs,Texas,,,,false
zcrm_1781014000181515148,8/9/2022,8/12/2022,111978,9406 Rowland Sayles,Austin,Texas,,,,false
zcrm_1781014000181437768,8/8/2022,8/9/2022,83514,553 Hayes Street,Hazleton,Pennsylvania,,,,false
zcrm_1781014000181430544,8/8/2022,8/9/2022,80922,9 Bentwood Rd,Drums,Pennsylvania,,,,false
zcrm_1781014000181327172,8/8/2022,8/9/2022,247123,1404 Limelight Ln,Pflugerville,Texas,,,,false
zcrm_1781014000181314629,8/8/2022,8/10/2022,49927,6700 Cooper Lane #28,Austin,Texas,,,,false
zcrm_1781014000181114054,8/8/2022,8/10/2022,81761,195 Robin Way,Lackawaxen,Pennsylvania,"Oct 14, 2022",,,false
zcrm_1781014000181050708,8/8/2022,8/8/2022,81435,54 School House Drive,Troy,Pennsylvania,,,,false
zcrm_1781014000180983065,8/6/2022,8/9/2022,272491,441 W St Railroad St.,China,Texas,,,,false
zcrm_1781014000180951342,8/6/2022,8/9/2022,308144,2515 FM 450 N,Hallsville,Texas,,,,false
zcrm_1781014000180921713,8/6/2022,8/9/2022,58782,1500 Pecos St #17,Dallas,Texas,,,,false
zcrm_1781014000180910010,8/5/2022,8/6/2022,107091,119 KATHERINE DRIVE,DAINGERFIELD,Texas,,,,false
zcrm_1781014000180900726,8/5/2022,8/10/2022,37430,4805 North FM 3465,Adkins,Texas,"Sep 30, 2022",,,false
zcrm_1781014000180893331,8/5/2022,8/5/2022,132834,16340 Beacons Jet Ct,Lindale,Texas,,,,false
zcrm_1781014000180887367,8/5/2022,8/10/2022,292981,7950 N Stadium dr #177,Houston,Texas,"Sep 19, 2022",,,true
zcrm_1781014000180677847,8/4/2022,8/4/2022,306024,2020 County Road 429,Pleasanton,Texas,,,,false
zcrm_1781014000180666352,8/4/2022,8/4/2022,262497,36-38 Lancaster Ave,Downingtown,Pennsylvania,,,,false
zcrm_1781014000180556915,8/4/2022,8/8/2022,21689,3935 County Road 239,Georgetown,Texas,"Oct 12, 2022",,,false
zcrm_1781014000180520220,8/4/2022,8/4/2022,115875,16 Mapleseed Drive,Dallas,Pennsylvania,,,,false
zcrm_1781014000180295293,8/3/2022,8/3/2022,88526,1829 West 24th Street,Erie,Pennsylvania,,,,false
zcrm_1781014000180290918,8/3/2022,8/4/2022,348203,1215 Fire Fly Ridge,Blue Ridge,Texas,,,,false
zcrm_1781014000180072556,8/2/2022,8/3/2022,32797,510 CR 2147,Troup,Texas,,,,false
zcrm_1781014000179988064,8/2/2022,8/2/2022,90913,2118 Poplar St.,Erie,Pennsylvania,,,,false
zcrm_1781014000179940815,8/2/2022,8/2/2022,189710,568 Canterbury Ct,Norristown,Pennsylvania,,,,false
zcrm_1781014000179704235,8/2/2022,9/8/2022,5487,16909 E Dorman Drive,Round Rock,Texas,,,,false
zcrm_1781014000179601284,8/1/2022,8/4/2022,129628,190 Headquarters Dr,Del Valle,Texas,,,,false
zcrm_1781014000179532587,8/1/2022,8/2/2022,121001,6043 South FM 36,Quinlan,Texas,,,,false
zcrm_1781014000179471113,8/1/2022,8/3/2022,131736,11609 County Road 1310,Wolfforth,Texas,,,,false
zcrm_1781014000178980175,7/31/2022,7/31/2022,92113,197 Selig Road,Pocono Lake,Pennsylvania,,,,false
zcrm_1781014000178863589,7/30/2022,7/30/2022,104754,651 S Bois D Ark,Van,Texas,,,,false
zcrm_1781014000178852752,7/30/2022,7/30/2022,104425,2910 Gardner,Tyler,Texas,"Aug 29, 2022",,,true
zcrm_1781014000178727329,7/29/2022,7/29/2022,193903,694 CR 385 Rd,El Campo,Texas,"Sep 30, 2022",,,false
zcrm_1781014000178672110,7/29/2022,7/29/2022,201905,1312 Anhalt Dr #80,Pflugerville,Texas,,,,false
zcrm_1781014000178657417,7/29/2022,7/29/2022,211828,103 Iroquois Trail,Milford,Pennsylvania,,,,false
zcrm_1781014000178516594,7/29/2022,8/7/2022,130012,NS 12 Lake Cherokee,Longview,Texas,,,,false
zcrm_1781014000178334001,7/28/2022,7/29/2022,201905,1010 Rolling Green Dr,Round Rock,Texas,,,,false
zcrm_1781014000178307010,7/28/2022,8/3/2022,7393,844 Willow Winds Street,Allen,Texas,"Sep 28, 2022",,,false
zcrm_1781014000178234625,7/28/2022,7/28/2022,7593,7685 Northcross Dr. #124,Austin,Texas,,,,false
zcrm_1781014000178041507,7/28/2022,8/4/2022,79553,510 Fox Street,Franklin,Pennsylvania,,,,false
zcrm_1781014000177966770,7/27/2022,7/27/2022,306760,620 N ELDRIDGE PKY # 0010,HOUSTON,Texas,,,,false
zcrm_1781014000177958403,7/27/2022,8/8/2022,134102,1430 Grigsby Avenue #101,Dallas,Texas,"Sep 20, 2022",,,false
zcrm_1781014000177952560,7/27/2022,7/28/2022,297572,8225 CR 219,Tyler,Texas,,,,false
zcrm_1781014000177924241,7/27/2022,7/27/2022,356745,64 Edge Rock Drive,Drums,Pennsylvania,,,,false
zcrm_1781014000177856722,7/27/2022,9/6/2022,158,8110 Ranch Road 2222 #39,Austin,Texas,,,,false
zcrm_1781014000177673670,7/26/2022,8/7/2022,246513,702 Sentinel Oaks Drive,Pinehurst,Texas,,,,false
zcrm_1781014000177653607,7/26/2022,7/27/2022,345724,11525 Burdine # 424,Houston,Texas,,,,false
zcrm_1781014000177644573,7/26/2022,8/1/2022,,4627 Monterey Circle 89135-5003,Las Vegas,,,,,false
zcrm_1781014000177643960,7/26/2022,7/26/2022,176720,3319 Avenue O 1/2 st,Galveston,Texas,,,,false
zcrm_1781014000177635855,7/26/2022,7/27/2022,ID:5502d201-cd13-4f28-98c9-2a4de85be5f5,"2036 Cobblefield Way, Glendora CA 91740-6708 91740-6708",Glendora,California,,,,false
zcrm_1781014000177460453,7/26/2022,7/28/2022,51689,4891 Oakland Dr,Bryan,Texas,,,,false
zcrm_1781014000177095890,7/25/2022,7/29/2022,314664,Jodonna Oeltjen,Wylie,Texas,,,,false
zcrm_1781014000177025259,7/23/2022,7/23/2022,3656,1200 Barton Creek Blvd #36,Austin,Texas,,,,false
zcrm_1781014000176900502,7/22/2022,7/25/2022,112927,4849 Bayberry Dr,Ft. Worth,Texas,"Oct 3, 2022",,,true
zcrm_1781014000176893672,7/22/2022,7/22/2022,80922,9 Bentwood Road,Drums,Pennsylvania,,,,false
zcrm_1781014000176884419,7/22/2022,7/23/2022,9405,3163 FM 1966,Maxwell,Texas,,,,false
zcrm_1781014000176588154,7/21/2022,7/26/2022,11689,10306 Rinderfarm Ct,New Braunfels,Texas,,,,false
zcrm_1781014000176488275,7/21/2022,7/24/2022,211795,4287 Blue Mountain Xing,East Stroudsburg,Pennsylvania,,,,false
zcrm_1781014000175952827,7/20/2022,7/26/2022,344787,1466 CR 432,Joaquin,Texas,,,,false
zcrm_1781014000175922647,7/19/2022,7/26/2022,193819,200 CR 4244,Bonham,Texas,,,,false
zcrm_1781014000175916422,7/19/2022,7/19/2022,55455,10009 Portsmouth,Spring Branch,Texas,"Sep 29, 2022",,,false
zcrm_1781014000175880913,7/19/2022,7/20/2022,92113,1436 Lake Ln,Pocono Lake,Pennsylvania,,,,false
zcrm_1781014000175818187,7/19/2022,7/20/2022,308004,5210 Mendenall Dr,Mechanicsburg,Pennsylvania,,,,false
zcrm_1781014000175809430,7/19/2022,7/19/2022,90082,238 MAPLE TREE Road,Dallas,Pennsylvania,,,,false
zcrm_1781014000175654674,7/19/2022,7/20/2022,68098,729 Nautical Loop,Kyle,Texas,,,,false
zcrm_1781014000175629857,7/19/2022,7/19/2022,58023,3029 Rain Dance Lp,Harker Heights,Texas,,,,false
zcrm_1781014000175629811,7/19/2022,7/19/2022,187,22336 Rock Wren Rd,Spicewood,Texas,,,,false
zcrm_1781014000175583199,7/18/2022,7/18/2022,ID:11b10f33-45a0-4385-8d1b-35bb88464ced,7070 Stoney Crest Circle 92252,Joshua Tree,California,,,,false
zcrm_1781014000175571414,7/18/2022,7/18/2022,73816,3701 E. Hwy 21,DIME BOX,Texas,,,,false
zcrm_1781014000175547160,7/18/2022,7/22/2022,295202,2249 Hazel St,Beaumont,Texas,,,,false
zcrm_1781014000175501738,7/18/2022,8/18/2022,347974,2120 Rodgers Ln,Aubrey,Texas,,,,false
zcrm_1781014000175493007,7/18/2022,8/4/2022,14125,1111 Caroline Street #2703,Houston,Texas,,,,false
zcrm_1781014000175351208,7/18/2022,7/19/2022,68483,4713 Amesbury Lane,Sherman,Texas,,,,false
zcrm_1781014000175239693,7/17/2022,7/17/2022,80922,66 E Foothills Dr.,Drums,Pennsylvania,,,,false
zcrm_1781014000175236063,7/17/2022,7/17/2022,261317,4318 ACR 309,Frankston,Texas,,,,false
zcrm_1781014000175112395,7/15/2022,7/17/2022,72822,3630 BRIGHT MOON COURT KATY,Katy,Texas,"Sep 14, 2022",,,false
zcrm_1781014000175060514,7/15/2022,7/15/2022,5022,201 W Lancaster Ave #322,Fort Worth,Texas,"Sep 14, 2022",,,false
zcrm_1781014000175023020,7/15/2022,7/15/2022,57145,1225 Bownford Drive,Fort Worth,Texas,,,,false
zcrm_1781014000174913788,7/15/2022,7/18/2022,211784,110 Sundew Dr,East Stroudsburg,Pennsylvania,"Sep 16, 2022",,,false
zcrm_1781014000174903570,7/15/2022,7/15/2022,74896,8530 Sacred Lotus Way Ln,Rosharon,Texas,,,,false
zcrm_1781014000174887949,7/15/2022,7/18/2022,59858,21888 A Ghost Rd,Saratoga,Texas,,,,false
zcrm_1781014000174773912,7/14/2022,7/15/2022,76500,503 Meeker Rd,Kerrville,Texas,,,,false
zcrm_1781014000174755568,7/14/2022,9/13/2022,12588,32855 FM 521 Road,Angleton,Texas,,,,false
zcrm_1781014000174099015,7/13/2022,7/14/2022,5742,1937 Rue St Tropez #9,Austin,Texas,"Sep 9, 2022",,,false
zcrm_1781014000174081083,7/13/2022,7/18/2022,205568,700 Island Retreat Rd #163,Port Aransas,Texas,,,,false
zcrm_1781014000174076223,7/13/2022,7/18/2022,205568,700 Island Retreat Rd #162,Port Aransas,Texas,,,,false
zcrm_1781014000173924939,7/13/2022,7/13/2022,50017,3641 Glenway st.,Corpus Christi,Texas,,,,false
zcrm_1781014000173833981,7/13/2022,7/13/2022,38717,11809 FM 307,Midland,Texas,,,,false
zcrm_1781014000173832221,7/12/2022,7/13/2022,68302,1601 Miriam Ave #118,Austin,Texas,,,,false
zcrm_1781014000173802535,7/12/2022,7/15/2022,96686,221 Route 739,Hawley,Pennsylvania,,,,false
zcrm_1781014000173797279,7/12/2022,7/14/2022,299350,204 Champions Cove,Lago Vista,Texas,,,,false
