Display name,Property city,State (Agent),Property Status,Property Status Updated,Closing Date is Wrong
1724 Shire Street,Pflugerville,Texas,,,FALSE
602 Duden Avenue 74437,Henryetta,Oklahoma,,,FALSE
3505 Malinda Lane,Rowlett,Texas,,,FALSE
21710 E Mulberry Field Circle,Cypress,Texas,,,FALSE
16548 Open View Road 92065,Ramona,California,,,FALSE
2520 Meadow Wood Rd,Granbury,Texas,,,FALSE
1439 Hidden Valley Dr.,Dallas,Texas,,,FALSE
2308 Fuller Springs Dr.,Lufkin,Texas,,,FALSE
3615 Mountain Rd,Halifax,Pennsylvania,,,FALSE
2201 Lakeway Blvd Apt 10,Lakeway,Texas,,,FALSE
426 Otto St,San Antonio,Texas,,,FALSE
1312 Marines Drive,Little Elm,Texas,,,FALSE
67 Player Vista Place,The Woodlands,Texas,,,FALSE
25714 Coreopsis,San Antonio,Texas,,,FALSE
3434 McBroom Street,Dallas,Texas,,,FALSE
4 Mayleaf Cove,The Hills,Texas,,,FALSE
124 Umbrella Sky,Liberty Hill,Texas,,,FALSE
320 East Front Street,Lewisberry,Pennsylvania,,,FALSE
8350 Old Springtown Road,Springtown,Texas,,,FALSE
2409 County Road 809B,Cleburne,Texas,,,FALSE
18617 Egret Bay Blvd #306,Houston,Texas,,,FALSE
2226 Rt 6,Hawley,Pennsylvania,,,FALSE
2124 USA Drive,Plano,Texas,,,FALSE
18115 Tenasserim Pine Trace,Richmond,Texas,,,FALSE
3762 Legends Path,Flower Mound,Texas,,,FALSE
"2013 East Cesar Chavez St, Unit B",Austin,Texas,,,FALSE
102 Fleishhacker Place,Mooresville,North Carolina,,,FALSE
359 Trudell,San Antonio,Texas,,,FALSE
4673 Rackowitz Road,Adkins,Texas,,,FALSE
4705 121st Place,Lubbock,Texas,,,FALSE
80 County Road 229,Florence,Texas,,,FALSE
1509 Shire Dr,Frisco,Texas,,,FALSE
7357 Walnut Lane,Philadelphia,Pennsylvania,,,FALSE
6202 Desert Rose,New Braunfels,Texas,,,FALSE
1101 Torrey Dr,Fayetteville,North Carolina,,,FALSE
936 Cleardale Dr,Dallas,Texas,,,FALSE
117 Stellamar Dr,Hutto,Texas,,,FALSE
225 Cattlemans Trail,saginaw,Texas,,,FALSE
245 Crystal City Creek,Buda,Texas,,,FALSE
221 Blue Agave Ln,Georgetown,Texas,,,FALSE
114 Sabla,El Campo,Texas,,,FALSE
1931 Seakale Lane,Houston,Texas,,,FALSE
645 CR 404,Seminole,Texas,,,FALSE
9859 Chelsea circle,Selma,Texas,,,FALSE
1923 W Mayfield Blvd,San Antonio,Texas,,,FALSE
10155 Round Ridge,San Antonio,Texas,,,FALSE
1215 Carmel Oaks,San Antonio,Texas,,,FALSE
31747 Serrano Bluff Ln,Spring,Texas,,,FALSE
3115 Ski Shores Terrace,Austin,Texas,,,FALSE
3323 Kingfisher Lane,Denton,Texas,,,FALSE
7737 Chasewood Drive,NRH,Texas,,,FALSE
2756 Water Oak Drive,Grand Prairie,Texas,,,FALSE
15550 Arrowhead Loop W,Wilis,Texas,,,FALSE
291 E. Main,Van,Texas,,,FALSE
6904 Overbrook Dr,Parker,Texas,,,FALSE
6911 Northchester Drive,Katy,Texas,,,FALSE
19411 CAVERN SPRINGS,Tomball,Texas,,,FALSE
8215 San Leandro,Dallas,Texas,,,FALSE
29210 Spring Mist Dr,Spring,Texas,,,FALSE
5401 SILVER SAGE LANE,ROSHARON,Texas,,,FALSE
1004 Bromley CT,Seguin,Texas,,,FALSE
1634 Winding Canyon Court,Katy,Texas,,,FALSE
7435 Bluestone Rd,San Antonio,Texas,,,FALSE
6403 Shady Acres Lane,Quinlan,Texas,,,FALSE
7428 Claridge St,Philadelphia,Pennsylvania,,,FALSE
750 n Fortune 500,Odessa,Texas,,,FALSE
121 Pugh,Corsicana,Texas,,,FALSE
8216 Snow Goose Way,Fort Worth,Texas,,,FALSE
2930 Lasses Blvd,San Antonio,Texas,,,FALSE
115 Thompson Farms Rd,Clarks Summit,Pennsylvania,,,FALSE
215 Windy Ct.,Highland village,Texas,,,FALSE
1114 W Camellia St,Tyler,Texas,,,FALSE
138 Private Road 3205,Bridgeport,Texas,,,FALSE
1410 N Spring St,Grand Saline,Texas,,,FALSE
9818 marbach cyn,san antonio,Texas,,,FALSE
5827 Creekway,San Antonio,Texas,,,FALSE
1905 CUB TRAIL,Orange,Texas,,,FALSE
11921 Spoke Hollow,SCHERTZ,Texas,,,FALSE
14300 S Padre Island Dr. Unit 159,Corpus Christi,Texas,,,FALSE
14143 Craigen Rd.,Beaumont,Texas,,,FALSE
202 Tryon School Loop Road,Bessemer City,North Carolina,,,FALSE
8327 puente,San Antonio,Texas,,,FALSE
3408 Meridian Ave.,Celina,Texas,,,FALSE
2611 Freedom Ln.,Copperas Cove,Texas,,,FALSE
3026 Mimosa,Port Arthur,Texas,,,FALSE
6301 Chalk Hollow,Fort Worth,Texas,,,FALSE
251 8th Ave,Collegeville,Pennsylvania,,,FALSE
2717 Summit View Drive,Plano,Texas,,,FALSE
9668 Plains Circle,Frisco,Texas,,,FALSE
7108 Wind Chime Dr,Fort Worth,Texas,,,FALSE
207 E Harwood Road Unit #18,Euless,Texas,,,FALSE
1808 Northcrest Dr,Plano,Texas,,,FALSE
701 S. Front Street,Allentown,Pennsylvania,,,FALSE
224 Oak Dr E,Hurst,Texas,,,FALSE
3003 Lois Cir,Copperas Cove,Texas,,,FALSE
102 Beartrap Mountain Rd,Greentown,Pennsylvania,,,FALSE
19235 Poplar Trails Ln,Tomball,Texas,,,FALSE
315 S Canyonwood Dr,Dripping Springs,Texas,,,FALSE
3100 Northwest 62nd Street 73112,Oklahoma City,Oklahoma,,,FALSE
1900 Barton Springs #2045,Austin,Texas,,,FALSE
106 February Lane,Lufkin,Texas,,,FALSE
1637 Wickline Ln,Pittsburgh,Pennsylvania,,,FALSE
14122 Rosetta Dr,Cypress,Texas,,,FALSE
3220 Iowa St,Baytown,Texas,,,FALSE
1112 Cedar Trace Pl,Pinehurst,Texas,,,FALSE
1605 W Winnipeg Ave,San Antonio,Texas,,,FALSE
20536 Fitzwilliam Ln,Porter,Texas,,,FALSE
630 Villa Creek Dr,Duncanville,Texas,Off Market,30-Aug-22,FALSE
11611 Blair Meadow Drive,Houston,Texas,,,FALSE
9353 Trexler Road,Breinigsville,Pennsylvania,,,FALSE
2405 Jester Place,Carrollton,Texas,,,FALSE
607 Summit Ave,Collinsville,Texas,,,FALSE
15152 Meadow Glen S,Conroe,Texas,,,FALSE
2125 Park Willow Lane #D,Arlington,Texas,,,FALSE
1912 Redbud Dr,Rockdale,Texas,,,FALSE
11120 Beckon Falls,Waco,Texas,Off Market,29-Aug-22,FALSE
1918 Grand Street,Abilene,Texas,,,FALSE
1004 Goldeneye,Aubrey,Texas,,,FALSE
6319 Encore Oaks,San Antonio,Texas,,,FALSE
2209 Oak Creek Dr,Sherman,Texas,,,FALSE
21011 Vista Trail Ct,Houston,Texas,,,FALSE
11614 W County Road 52,Midland,Texas,,,FALSE
219 E Morin St,Del Rio,Texas,,,FALSE
10370 Palladium Mine Drive 89521,Reno,Nevada,Active,29-Aug-22,FALSE
25 Elcock Circle,Irmo,South Carolina,,,FALSE
66 Ardsley Square Pl,Spring,Texas,,,FALSE
20216 Clare Island Bend,Pflugerville,Texas,,,FALSE
137 Center Rd,East Tawakoni,Texas,,,FALSE
7900 Agarita Drive,Austin,Texas,,,FALSE
1302 Convair Ct,Midland,Texas,Active,29-Aug-22,FALSE
17004 Ardisia Dr,Pflugerville,Texas,,,FALSE
539 Tall Timber,West Columbia,Texas,,,FALSE
21539 George Wayne Way,Spring,Texas,,,FALSE
3312 Sealy St,Galveston,Texas,Off Market,29-Aug-22,FALSE
3107 Rampart,Killeen,Texas,Off Market,29-Aug-22,FALSE
13609 County Road 480,Anna,Texas,,,FALSE
"605 Swift Current Drive, Crowley, TX 76036",Crowley,Texas,,,FALSE
20 w maplewood ave,Mechanicsburg,Pennsylvania,Active,29-Aug-22,FALSE
425 Oakview Rd,Luling,Texas,,,FALSE
132 Concho Creek Loop,Leander,Texas,Active,29-Aug-22,FALSE
3625 Demaret Dr,Mesquite,Texas,,,FALSE
9819 Autumn Valley,"Converse,",Texas,,,FALSE
8855 Jason Dr,Orange,Texas,,,FALSE
706 S 13th St,Copperas Cove,Texas,Active,29-Aug-22,FALSE
145 Jordan Rd,Lumberton,Texas,,,FALSE
228 Springdale Rd,York,Pennsylvania,Active,29-Aug-22,FALSE
137 Cottage Lane,Royse City,Texas,,,FALSE
12916 Forest Trl,Conroe,Texas,Active,29-Aug-22,FALSE
8437 E County Rd 114,Midland,Texas,,,FALSE
319 Scott st,Rogers,Texas,Active,29-Aug-22,FALSE
4111 Creek Falls,Corinth,Texas,,,FALSE
3509 Periwinkle Ct,Bedford,Texas,Off Market,29-Aug-22,FALSE
16280 Horseshoe Dr,Gardendale,Texas,Active,29-Aug-22,FALSE
8111 Maple Meadow Drive,Converse,Texas,,,FALSE
1521 Tanglewood Dr East,Hideaway,Texas,Off Market,29-Aug-22,FALSE
10608 Coreopsis Drive,Austin,Texas,Off Market,29-Aug-22,FALSE
12230 Lee Rd,Murchison,Texas,Off Market,29-Aug-22,FALSE
26319 Meadow Dawn Ln,Katy,Texas,Active,29-Aug-22,FALSE
112 Ryburn St.,Waxahachie,Texas,,,FALSE
18 Yale Square,Morton,Pennsylvania,,,FALSE
1628 Edge Hill Rd.,Benbrook,Texas,,,FALSE
4628 Magnolia Ave,Bristol,Pennsylvania,,,FALSE
449 Tablerock Drive,Murphy,Texas,Off Market,29-Aug-22,FALSE
750 Fortune 500,Odessa,Texas,Active,29-Aug-22,FALSE
704 Levelland Drive,Arlington,Texas,,,FALSE
7500 Hughes Drive,Plano,Texas,Off Market,29-Aug-22,FALSE
2605 Heather Field Lane 89521,Reno,Nevada,Off Market,29-Aug-22,FALSE
209 E 2nd Ave,Altoona,Pennsylvania,Off Market,29-Aug-22,FALSE
107 Loma Park,San Antonio,Texas,Off Market,30-Aug-22,FALSE
1916 Bolsover,Houston,Texas,,,FALSE
11120 Beckon Falls,Waco,Texas,Off Market,29-Aug-22,FALSE
130 Expedition Way,San Antonio,Texas,,,FALSE
1301 Ashberry Trail,Georgetown,Texas,Off Market,29-Aug-22,FALSE
13958 Fort Ward Way,Conroe,Texas,Off Market,29-Aug-22,FALSE
9941 Tanglebrush Dr,Mckinney,Texas,Off Market,29-Aug-22,FALSE
115 Pioneer Ln,Effort,Pennsylvania,,,FALSE
2432 Republic Trails,Leander,Texas,Off Market,29-Aug-22,FALSE
5122 Lakota Trail,Spring,Texas,Active,29-Aug-22,FALSE
4123 Pigg Mattox Rd,Monroe,North Carolina,Active,29-Aug-22,FALSE
15004 Kent Justin,Austin,Texas,Off Market,29-Aug-22,FALSE
868 Milton 94607-3446,Oakland,California,,,FALSE
1780 Shanklin Rd,Belton,Texas,Off Market,29-Aug-22,FALSE
1706 S Diamondhead Blvd,Crosby,Texas,Off Market,29-Aug-22,FALSE
12525 Morning Hill Pass,Magnolia,Texas,Active,29-Aug-22,FALSE
204 Grosseto Lane,Georgetown,Texas,,,FALSE
118 Green Acres Drive,Murphy,Texas,Active,29-Aug-22,FALSE
"2660 Augusta Dr, D211",Houston,Texas,Off Market,29-Aug-22,FALSE
22255 ROBERTS CEMETERY RD OFFICE/ACTIVITY BLDG,HOCKELY,Texas,,,FALSE
3909 Lochridge,North Richland Hills,Texas,Off Market,29-Aug-22,FALSE
208 Carone Dr,Cogan Station,Pennsylvania,Active,29-Aug-22,FALSE
Street Industry No.1 800200,Portland,,,,FALSE
2405 Sherman Drive,Killeen,Texas,Off Market,29-Aug-22,FALSE
1815 Running Brook Dr,Austin,Texas,Off Market,29-Aug-22,FALSE
8400 Summer Park Drive,Fort Worth,Texas,Active,29-Aug-22,FALSE
1906 Mercedes Rd.,Denton,Texas,,,FALSE
5801 Hathaway Dr,Parker,Texas,Off Market,29-Aug-22,FALSE
2402 Lamroc Rd,Greensboro,North Carolina,Active,29-Aug-22,FALSE
4132 Rapids,Corpus Christi,Texas,Off Market,29-Aug-22,FALSE
1079 Riverside Drive,Pottstown,Pennsylvania,,,FALSE
8203 Glen Fox,San Antonio,Texas,Active,29-Aug-22,FALSE
3738 Essen Loop,College Station,Texas,Active,29-Aug-22,FALSE
1343 CR 4818,Kempner,Texas,,,FALSE
21824 Dolores Street 94596,Castro Valley,California,Off Market,,FALSE
10219 Sand Pass Ln,Houston,Texas,Off Market,29-Aug-22,FALSE
2412 skywing ct,Spring,Texas,,,FALSE
11310 Thompson Bend Drive,Humble,Texas,Off Market,29-Aug-22,FALSE
1017 N 33rd St,Waco,Texas,,,FALSE
102,Shavano Park,Texas,Off Market,29-Aug-22,FALSE
514 J L Brazzil,Waco,Texas,,,FALSE
209 Washington Ct,Collegeville,Pennsylvania,Active,29-Aug-22,FALSE
7414 NIck St,Amarillo,Texas,Active,29-Aug-22,FALSE
8215 Peppervine Ct,Conroe,Texas,,,FALSE
112 Alread Ct,Fort Worth,Texas,Off Market,29-Aug-22,FALSE
7925 Quail Field Drive,Charlotte,North Carolina,Active,29-Aug-22,FALSE
2100 Indigo Dr,McKinney,Texas,Active,29-Aug-22,FALSE
313 Creamery Road Rear,Jermyn,Pennsylvania,,,FALSE
25619 Willard Path,San Antonio,Texas,Active,29-Aug-22,FALSE
2701 Custer Ave,Odessa,Texas,Active,29-Aug-22,FALSE
2508 Indian Gap St,Weatherford,Texas,Pending,29-Aug-22,FALSE
2105 High Summit Drive,Garland,Texas,Off Market,29-Aug-22,FALSE
9 Applegreen Ln,The Hills,Texas,Active,29-Aug-22,FALSE
9747 Dover Hill Rd.,La Porte,Texas,Off Market,29-Aug-22,FALSE
13149 Bayfield Dr,Austin,Texas,Off Market,29-Aug-22,FALSE
519 E 6th St,Dallas,Texas,Active,29-Aug-22,FALSE
12417 Meadow Landing Drive,Frisco,Texas,Off Market,29-Aug-22,FALSE
109 SW Ave H,Seminole,Texas,Off Market,29-Aug-22,FALSE
1865 E Shore Cir,Dallas,Texas,Off Market,29-Aug-22,FALSE
1620 Rosson Rd,Little Elm,Texas,Off Market,29-Aug-22,FALSE
209 Lake Rim Circle,Georgetown,Texas,,,FALSE
4001 Preservation Cv,Austin,Texas,Active,29-Aug-22,FALSE
8235 Pastel Dawn Trace,Houston,Texas,Off Market,29-Aug-22,FALSE
297 Echo Lake rd,Tobyhanna,Pennsylvania,Active,29-Aug-22,FALSE
1400 Groveland Ave,Longview,Texas,,,FALSE
1505 Millican Ln.,Aubrey,Texas,Off Market,29-Aug-22,FALSE
1099 tawakoni rd,Wills Point,Texas,Off Market,29-Aug-22,FALSE
23410 Beechtree Gully Ln,Spring,Texas,Off Market,29-Aug-22,FALSE
175 Longhorn,Tuscola,Texas,Active,29-Aug-22,FALSE
11807 Plover Pl,San Antonio,Texas,Active,29-Aug-22,FALSE
717 Mangrove Trl.,Saginaw,Texas,Off Market,29-Aug-22,FALSE
15301 Mount Evans Drive,Little Elm,Texas,Off Market,29-Aug-22,FALSE
22255 ROBERTS CEMETERY RD,HOCKLEY,Texas,Off Market,29-Aug-22,FALSE
301 Happy Trl,Shavano Park,Texas,,,FALSE
1007 North Riviera Circle,Cedar Park,Texas,Under Contract,29-Aug-22,FALSE
1123 Pasadena St,Portland,,Off Market,29-Aug-22,FALSE
31314 TRINITY PARK LN,SPRING,Texas,Off Market,29-Aug-22,FALSE
41904 Rock Shelf Lane 93664,Shaver Lake,California,Pending,29-Aug-22,FALSE
2108 Lake By Drive,Irving,Texas,,,FALSE
4530 Legends Bay Drive,Baytown,Texas,Off Market,29-Aug-22,FALSE
23043 Vallingby Dr,Katy,Texas,,,FALSE
4912 Odessa Ave,Fort Worth,Texas,Off Market,29-Aug-22,FALSE
5201 Valleyside Dr,Fort Worth,Texas,,,FALSE
7524 Cedarhill Road,Watauga,Texas,Active,29-Aug-22,FALSE
9359 Maple Silver,San Antonio,Texas,Active,29-Aug-22,FALSE
502 Crescent Dr.,Littlefield,Texas,Active,29-Aug-22,FALSE
6804 Cloud Crest Dr.,Amarillo,Texas,Off Market,29-Aug-22,FALSE
8401 E WT Harris Blvd,Charloltte,North Carolina,Active,29-Aug-22,FALSE
722 Tose St,Bridgeport,Pennsylvania,Off Market,29-Aug-22,FALSE
4006 Fir Forest Dr,Spring,Texas,Off Market,29-Aug-22,FALSE
3331 Louvre Lane,Houston,Texas,Active,29-Aug-22,FALSE
752 Noel Lane 89406,Fallon,Nevada,Under Contract,29-Aug-22,FALSE
2529 Eucalyptus Drive,Plano,Texas,Off Market,29-Aug-22,FALSE
908 Wade Dr,Bedford,Texas,Off Market,29-Aug-22,FALSE
300 CR 290,Leander,Texas,,,FALSE
22711 Carter Gate Dr.,Spring,Texas,Off Market,29-Aug-22,FALSE
1555 FM 2543,Yoakum,Texas,,,FALSE
3190 Pruss Hill Rd,Pottstown,Pennsylvania,Active,29-Aug-22,FALSE
2043 N Moore Ave,Tyler,Texas,Off Market,29-Aug-22,FALSE
120 PRIVATE ROAD 4101,GILMER,Texas,Active,29-Aug-22,FALSE
717 Harding Street,Roaring Spring,Pennsylvania,Active,29-Aug-22,FALSE
49 Spanish Trail,Pottsboro,Texas,Active,29-Aug-22,FALSE
7992 Staley Dr,Frisco,Texas,Off Market,29-Aug-22,FALSE
5422 Sunlit Brk,San Antonio,Texas,Pending,29-Aug-22,FALSE
113 Outer Drive,Dingmans Ferry,Pennsylvania,Active,29-Aug-22,FALSE
101 Royal Lane,Commerce,Texas,Off Market,29-Aug-22,FALSE
2223 Marvin Dr,Lancaster,Texas,Active,29-Aug-22,FALSE
6431 Legato Curve,San Antonio,Texas,Pending,29-Aug-22,FALSE
12550 Spider Lily Rd,Diana,Texas,Off Market,29-Aug-22,FALSE
1621 Colonnade Drive,Arlington,Texas,Off Market,29-Aug-22,FALSE
703 14th Street,New Brighton,Pennsylvania,Active,29-Aug-22,FALSE
3704 County Road 401,Alvarado,Texas,Off Market,29-Aug-22,FALSE
309 Lakeview Drive,Hideaway,Texas,Off Market,29-Aug-22,FALSE
10 Turtle Crossing,Canyon,Texas,Active,29-Aug-22,FALSE
11539 Kalinago View Ln,Conroe,Texas,,,FALSE
2106 Fleur De Lis Court,Arlington,Texas,Off Market,29-Aug-22,FALSE
262 E Hilltop Road,Elm Mott,Texas,Pending,29-Aug-22,FALSE
3530 Eva Jane,San Antonio,Texas,Active,29-Aug-22,FALSE
610 arapahoe,Harker Heights,Texas,,,FALSE
3407 Bluebird,Bushkill,Pennsylvania,Off Market,29-Aug-22,FALSE
2323 Paige Place,Grand Prairie,Texas,,,FALSE
3607 Lost Oak Dr,Spring,Texas,Active,29-Aug-22,FALSE
600 N. Montgomery St,Sherman,Texas,Active,29-Aug-22,FALSE
1100 Millers Creek Drive,Prosper,Texas,Active,29-Aug-22,FALSE
11320 W 23rd St,Odessa,Texas,Active,29-Aug-22,FALSE
122 N Bryant St,Pleasanton,Texas,,,FALSE
1670 Chilton Lane,Katy,Texas,Active,29-Aug-22,FALSE
842 Byler Circle,Lebanon,Pennsylvania,Off Market,29-Aug-22,FALSE
103 Oak Shadow,San Marcos,Texas,Off Market,29-Aug-22,FALSE
11132 Happy Acres,Tyler,Texas,Off Market,29-Aug-22,FALSE
4825 Mourning Dove Lane,Abilene,Texas,Off Market,29-Aug-22,FALSE
202 April Waters Dr N,Montgomery,Texas,Off Market,29-Aug-22,FALSE
935 W. Dove Road,Southlake,Texas,Off Market,29-Aug-22,FALSE
514 Kennedi Dr,Whitesboro,Texas,Active,29-Aug-22,FALSE
622 W. Russel Pl,San Antonio,Texas,Active,29-Aug-22,FALSE
2919 Island Point Drive NW,Concord,North Carolina,Active,29-Aug-22,FALSE
2946 Golfing Green CT,Burleson,Texas,,,FALSE
256 Wapiti Dr,Azle,Texas,Off Market,29-Aug-22,FALSE
136 W. Ridgewood Ct.,San Antonio,Texas,Active,29-Aug-22,FALSE
1018 Alexander Hamilton Dr.,San Antonio,Texas,Active,29-Aug-22,FALSE
101 Covington Cove,Georgetown,Texas,Active,29-Aug-22,FALSE
2620 Deep Valley Trail,Carrollton,Texas,Off Market,29-Aug-22,FALSE
42 Brushwood Ct.,Spring,Texas,Off Market,29-Aug-22,FALSE
2107 Garden Street,Austin,Texas,,,FALSE
2900 Sand Hill Circle,Midland,Texas,Active,29-Aug-22,FALSE
7526 Legend Rock,San Antonio,Texas,Under Contract,29-Aug-22,FALSE
1006 Verbena Drive,Austin,Texas,Off Market,29-Aug-22,FALSE
22022 Bridgestone Eagle Court,Spring,Texas,Pending,29-Aug-22,FALSE
112 Ramsey Ave,Oglesby,Texas,Active,29-Aug-22,FALSE
5427 Olympia Fields Lane,Houston,Texas,Off Market,29-Aug-22,FALSE
3132 Chapel Downs Drive,Dallas,Texas,Active,29-Aug-22,FALSE
6427 Falcons Height,San Antonio,Texas,Off Market,29-Aug-22,FALSE
8033 Luling Ln,Austin,Texas,Active,29-Aug-22,FALSE
2519 Bering Dr Unit 11,Houston,Texas,Off Market,29-Aug-22,FALSE
13665 Nutty Brown Rd,Austin,Texas,Off Market,29-Aug-22,FALSE
313 East Highland Ave,Ebensburg,Pennsylvania,Active,29-Aug-22,FALSE
7409 Shadow Hill #105,Austin,Texas,Off Market,29-Aug-22,FALSE
5842 Montrose St,Philadelphia,Pennsylvania,Off Market,29-Aug-22,FALSE
1318 Edgewood Drive,Richardson,Texas,Off Market,29-Aug-22,FALSE
101 N Charles St,Creedmoor,North Carolina,Active,29-Aug-22,FALSE
701 S San Marcos St,Manor,Texas,Off Market,29-Aug-22,FALSE
3405 Orange Street,Houston,Texas,Off Market,29-Aug-22,FALSE
6646 E Lovers Ln #306,Dallas,Texas,Pending,29-Aug-22,FALSE
246 Coverly,Lansdowne,Pennsylvania,Active,29-Aug-22,FALSE
8021 US Highway 271 S,Gilmer,Texas,Off Market,29-Aug-22,FALSE
2822 Davis Trace,San Antonio,Texas,Off Market,22-Aug-22,FALSE
1307 Carnation Dr,Lewisville,Texas,Off Market,22-Aug-22,FALSE
2215 Arrowwood Trl,Katy,Texas,Off Market,29-Aug-22,FALSE
309 Tumbleweed Run,Cibolo,Texas,,,FALSE
10709 Deaton Lane,Austin,Texas,Active,29-Aug-22,FALSE
1803 Bangor Ave,Lubbock,Texas,Off Market,29-Aug-22,FALSE
710 N Kaufman Dr,Deer Park,Texas,Off Market,29-Aug-22,FALSE
11922 Sara Jo Lane,Houston,Texas,Off Market,29-Aug-22,FALSE
10523 Medio Creek,San Antonio,Texas,Active,29-Aug-22,FALSE
200 Billings Ln,Austin,Texas,,,FALSE
9806 Marbach Bend,San Antonio,Texas,Active,29-Aug-22,FALSE
110 Lawman Trail,Bertram,Texas,Active,29-Aug-22,FALSE
4628 SIERRA MADRE DRIVE,WICHITA FALLS,Texas,Off Market,29-Aug-22,FALSE
18319 First Bend Dr.,Cypress,Texas,Active,22-Aug-22,FALSE
3615 Eisenhower Road,Odessa,Texas,Off Market,29-Aug-22,FALSE
3812 Glen Arbor Dr,Houston,Texas,Off Market,22-Aug-22,FALSE
21474 Altuda Drive,Flint,Texas,,,FALSE
2153 Basil Lane 90077,Los Angeles,California,Pending,22-Aug-22,FALSE
296 E Circuit,Beaumont,Texas,Off Market,29-Aug-22,FALSE
4845 Cedar Springs Rd. #363,Dallas,Texas,Off Market,29-Aug-22,FALSE
319 Council Oak Court,Magnolia,Texas,Active,29-Aug-22,FALSE
2038 Trumans Hill,New Braunfels,Texas,Active,29-Aug-22,FALSE
1921 7th STREET,WICHITA FALLS,Texas,Off Market,29-Aug-22,FALSE
1908 Oaklawn Drive,Midland,Texas,Off Market,22-Aug-22,FALSE
4500 Edgemont Drive,Austin,Texas,Off Market,22-Aug-22,FALSE
1314 Rosemont,Amarillo,Texas,Active,22-Aug-22,FALSE
37 N Hidden View Circle,The Woodlands,Texas,,,FALSE
7909 Forest Ridge Ct,NORTH RICHLAND HILLS,Texas,Off Market,22-Aug-22,FALSE
607 Oak Ridge Dr,Pflugerville,Texas,Active,29-Aug-22,FALSE
162 Princess Drive,Houston,Texas,Off Market,22-Aug-22,FALSE
1201 FM 539,Seguin,Texas,Off Market,29-Aug-22,FALSE
141 Sundance Cir.,Waxahachie,,Active,22-Aug-22,FALSE
1132 Foxtail Dr.,Anna,Texas,Active,29-Aug-22,FALSE
114 Walmar Manor,Dillsburg,Pennsylvania,Off Market,22-Aug-22,FALSE
18755 Tejada Rd,San Antonio,Texas,,,FALSE
111 Deep Lake Dr,Liberty Hill,Texas,Off Market,22-Aug-22,FALSE
13221 Berrywood,Fort Worth,Texas,,,FALSE
1613 Emily Ln,Kilgore,Texas,Off Market,22-Aug-22,FALSE
919 E Pennsylvania Ave,Van,Texas,Off Market,22-Aug-22,FALSE
