Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong,,
zcrm_1781014000169175428,6/28/2022,6/28/2022,5703,1420 Windcrest Drive,Round Rock,Texas,,,,false,,
zcrm_1781014000169171137,6/28/2022,6/28/2022,18867,16514 Glen Eve Path,San Antonio,Texas,"Sep 26, 2022",,,false,,
zcrm_1781014000169158169,6/28/2022,6/29/2022,5696,16107 Sandpoint Cv,Austin,Texas,,,,false,,
zcrm_1781014000169156594,6/28/2022,6/28/2022,273656,2610 Maxwell,Midland,Texas,,,,false,,
zcrm_1781014000169156244,6/28/2022,7/6/2022,4302,334 Ranch Gate Lane,Frisco,Texas,,,,false,,
zcrm_1781014000169146692,6/28/2022,8/8/2022,217608,3709 Latigo Dr,Killeen,Texas,,,,false,,
zcrm_1781014000169113933,6/28/2022,7/13/2022,21545,681 Thousand Oaks Dr,Cedar Creek,Texas,,,,false,,
zcrm_1781014000169100337,6/28/2022,9/12/2022,78243,2046 N Gratz St,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000169098881,6/28/2022,6/28/2022,44366,2250 FM 773,Grand Saline,Texas,,,,false,,
zcrm_1781014000169096223,6/28/2022,7/1/2022,134442,4605 Lookout Mountain Ln.,Killeen,Texas,"Sep 9, 2022",,,false,,
zcrm_1781014000169092217,6/28/2022,7/6/2022,58384,1422 W Lullwood Ave,San Antonio,Texas,,,,false,,
zcrm_1781014000169086495,6/28/2022,6/28/2022,21526,5907 Carry Back Ln,Austin,Texas,,,,false,,
zcrm_1781014000169084609,6/28/2022,6/28/2022,743,260 Cactus Patch,Selma,Texas,,,,false,,
zcrm_1781014000169028461,6/27/2022,6/28/2022,61270,10603 Yucca,Austin,Texas,,,,false,,
zcrm_1781014000169024078,6/27/2022,7/22/2022,18867,4619 Aspen View,San Antonio,Texas,,,,false,,
zcrm_1781014000169013373,6/27/2022,7/6/2022,ID:dd404aaf-6347-445d-b65f-4b3deb40067c,2285 Long Island Court 89436,Sparks,Nevada,"Sep 26, 2022",,,false,,
zcrm_1781014000168998340,6/27/2022,7/1/2022,293420,3909 Redbud Dr.,Aubrey,Texas,"Sep 22, 2022",,,false,,
zcrm_1781014000168998174,6/27/2022,6/27/2022,112999,18515 Mabels Island Ct,Humble,Texas,,,,false,,
zcrm_1781014000168973469,6/27/2022,6/27/2022,344087,6616 Plains Crest Drive,Del Valle,Texas,,,,false,,
zcrm_1781014000168962352,6/27/2022,6/27/2022,64456,4103 Mountain VIew,Kingsland,Texas,,,,false,,
zcrm_1781014000168950058,6/27/2022,6/29/2022,98105,414 Rosecliff Drive,Wexford,Pennsylvania,,,,false,,
zcrm_1781014000168948708,6/27/2022,7/8/2022,269,6103 Lake Shore Drive,Lago Vista,Texas,,,,false,,
zcrm_1781014000168939510,6/27/2022,6/27/2022,36298,7706 river pass dr,Pearland,Texas,,,,false,,
zcrm_1781014000168936997,6/27/2022,7/11/2022,158,507 Sabine St #401,Austin,Texas,,,,false,,
zcrm_1781014000168844625,6/27/2022,6/27/2022,129627,2869 FM 2091 N,Gonzales,Texas,,,,false,,
zcrm_1781014000168840634,6/27/2022,6/27/2022,92317,516 Cornerstone Way,East Stroudsburg,Pennsylvania,"Sep 27, 2022",,,false,,
zcrm_1781014000168825438,6/27/2022,6/27/2022,149220,3334 Saltillo Way,San Antonio,Texas,,,,false,,
zcrm_1781014000168811237,6/27/2022,8/9/2022,236832,511 Union Street,Perkasie,Pennsylvania,,,,false,,
zcrm_1781014000168807860,6/27/2022,6/27/2022,5176,6160 Balcony Ln,Dallas,Texas,,,,false,,
zcrm_1781014000168805984,6/27/2022,7/16/2022,156808,18713 Silent Water Way,Pflugerville,Texas,"Sep 27, 2022",,,false,,
zcrm_1781014000168805222,6/27/2022,6/30/2022,89110,1262 S. Albemarle Street,York,Pennsylvania,"Sep 19, 2022",,,true,,
zcrm_1781014000168799358,6/27/2022,6/27/2022,43838,2930 Waters Edge,Quinlan,Texas,,,,false,,
zcrm_1781014000168668251,6/27/2022,6/27/2022,90082,120 Randon Lane,Hazleton,Pennsylvania,,,,false,,
zcrm_1781014000168666369,6/27/2022,6/27/2022,49946,1996 Westvalley Pl,Round Rock,Texas,,,,false,,
zcrm_1781014000168630934,6/26/2022,6/30/2022,128851,982 County Road 676,Dayton,Texas,,,,false,,
zcrm_1781014000168630387,6/26/2022,7/7/2022,292933,7604 Chestnut Drive,North Richland Hills,Texas,,,,false,,
zcrm_1781014000168625207,6/26/2022,6/29/2022,3708,914 W 22 1/2 #305,Austin,Texas,,,,false,,
zcrm_1781014000168622447,6/26/2022,6/26/2022,275850,1200 Cuero dr,Garland,Texas,,,,false,,
zcrm_1781014000168612064,6/26/2022,7/6/2022,127838,1440 S Hicks St.,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000168586729,6/26/2022,6/28/2022,2221,8692 FM 16,Van,Texas,,,,false,,
zcrm_1781014000168564246,6/25/2022,6/26/2022,317611,103 Hebron Lane,Sylva,North Carolina,,,,false,,
zcrm_1781014000168559111,6/25/2022,6/25/2022,341384,249 County Road 817,Buna,Texas,,,,false,,
zcrm_1781014000168550744,6/25/2022,6/27/2022,20682,805 Trenton Street,Weatherford,Texas,,,,false,,
zcrm_1781014000168546578,6/25/2022,6/26/2022,20682,1812 Circleview Drive,Weatherford,Texas,,,,false,,
zcrm_1781014000168544104,6/25/2022,6/26/2022,89613,5824 Spruce Street,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000168524711,6/25/2022,6/25/2022,339562,710 Colorado,Austin,Texas,"Jul 18, 2022",,,false,,
zcrm_1781014000168520344,6/25/2022,7/21/2022,5587,2710 Cedar Springs Pl,Round Rock,Texas,,,,false,,
zcrm_1781014000168481033,6/24/2022,6/24/2022,ID:d0531268-40d1-4446-ae1c-43313dace9fb,4510 San Carlos Avenue 94601,Oakland,California,,,,false,,
zcrm_1781014000168480973,6/25/2022,6/25/2022,160508,3516 Glen Ave,Easton,Pennsylvania,"Sep 23, 2022",,,false,,
zcrm_1781014000168479283,6/24/2022,6/24/2022,ID:5502d201-cd13-4f28-98c9-2a4de85be5f5,"2036 Cobblefield Way, Glendora CA 91740-6708 91740-6708",Glendora,California,,,,false,,
zcrm_1781014000168463952,6/24/2022,6/26/2022,84911,1823 Viruth St,Pittsburgh,Pennsylvania,,,,false,,
zcrm_1781014000168454047,6/24/2022,9/7/2022,49867,1508 Dahlia Ct.,Pflugerville,Texas,,,,false,,
zcrm_1781014000168426993,6/24/2022,6/24/2022,257250,1812 Vassar Street,Houston,Texas,,,,false,,
zcrm_1781014000168420304,6/24/2022,6/26/2022,299931,7208 Precinct Line Rd,Hurst,Texas,,,,false,,
zcrm_1781014000168419924,6/24/2022,6/25/2022,148954,739 Avondale Ave,San Antonio,Texas,"Sep 30, 2022",,,false,,
zcrm_1781014000168417432,6/24/2022,6/26/2022,205568,5601 St Hwy 361 #109,Port Aransas,Texas,,,,false,,
zcrm_1781014000168416399,6/24/2022,7/13/2022,2667,1616 Arndt,New Braunfels,Texas,,,,false,,
zcrm_1781014000168412201,6/24/2022,6/25/2022,61418,3429 Whisper Haven,Schertz,Texas,,,,false,,
zcrm_1781014000168407226,6/24/2022,6/24/2022,49891,9400 Ranchland Hills Blvd.,Jonestown,Texas,,,,false,,
zcrm_1781014000168396662,6/24/2022,6/24/2022,1120,1564 Lazy Ln,Corpus Christi,Texas,,,,false,,
zcrm_1781014000168396101,6/24/2022,6/24/2022,49597,15406 Big Cyprus Bayou,Corpus Christi,Texas,,,,false,,
zcrm_1781014000168395872,6/24/2022,6/24/2022,32454,2326 Scenic Road,Midland,Texas,,,,false,,
zcrm_1781014000168392291,6/24/2022,6/30/2022,289457,3915 Esmond Dr,Odessa,Texas,,,,false,,
zcrm_1781014000168386908,6/24/2022,6/24/2022,208193,502 Rotary,San Antonio,Texas,,,,false,,
zcrm_1781014000168317500,6/24/2022,9/9/2022,59446,770 Hunters Place,Prosper,Texas,,,,false,,
zcrm_1781014000168310748,6/24/2022,6/24/2022,299571,724 School Street,Benavides,Texas,,,,false,,
zcrm_1781014000168293759,6/24/2022,6/25/2022,ID:faa276ee-9b73-46dd-a04b-917a5f0c9f47,8217 Cadillac Lane 63134,Berkeley,Missouri,"Oct 8, 2022",,,false,,
zcrm_1781014000168282357,6/24/2022,6/24/2022,144585,276 Bridlewood Path,Seguin,Texas,,,,false,,
zcrm_1781014000168261833,6/24/2022,6/24/2022,89246,1819 Tyler Street,Aliquippa,Pennsylvania,"Sep 9, 2022",,,false,,
zcrm_1781014000168261420,6/24/2022,7/1/2022,46863,527 Lost Cove Drive,Spicewood,Texas,,,,false,,
zcrm_1781014000168261372,6/24/2022,7/1/2022,69489,706 E 47th Street,Austin,Texas,,,,false,,
zcrm_1781014000168261221,6/24/2022,6/30/2022,329190,748 Madison st,Coatesville,Pennsylvania,,,,false,,
zcrm_1781014000168095626,6/24/2022,7/11/2022,295333,2003 Clyde Falls Drive,Richmond,Texas,,,,false,,
zcrm_1781014000168076017,6/23/2022,6/24/2022,5844,9731 Anderson Village Drive,Austin,Texas,,,,false,,
zcrm_1781014000168048817,6/23/2022,6/24/2022,58842,903 Karen Ave,Austin,Texas,,,,false,,
zcrm_1781014000168046837,6/23/2022,9/13/2022,101164,14601 Ballycastle Trail,Austin,Texas,,,,false,,
zcrm_1781014000168045647,6/23/2022,6/24/2022,20805,3516 E. Renfro Street,Burleson,Texas,,,,false,,
zcrm_1781014000168044936,6/23/2022,7/8/2022,257502,6929 Ave L,Houston,Texas,,,,false,,
zcrm_1781014000168023624,6/23/2022,6/26/2022,264036,1033 Wagon Trail,Little Elm,Texas,,,,false,,
zcrm_1781014000168023161,6/23/2022,6/23/2022,ID:4f2c007f-7ffa-4159-8f81-2c798ff56178,15399 North 520 Road 74464,Tahlequah,Oklahoma,,,,false,,
zcrm_1781014000168017681,6/23/2022,6/23/2022,1160,7013 Kate Reed Dr,Odessa,Texas,,,,false,,
zcrm_1781014000168016502,6/23/2022,6/25/2022,21242,"1833 Ficuzza Way, Leander, TX 78641",Leander,Texas,"Sep 20, 2022",,,false,,
zcrm_1781014000168015111,6/23/2022,6/24/2022,ID:f0684590-be60-417d-ae3c-0b8717e34796,5490 County Road 620 63701,Cape Girardeau,Missouri,,,,false,,
zcrm_1781014000168003229,6/23/2022,6/26/2022,185617,21661 Forest Grove Dr.,Chandler,Texas,,,,false,,
zcrm_1781014000167999943,6/23/2022,6/29/2022,63988,7633 Vista Del Sol,Odessa,Texas,,,,false,,
zcrm_1781014000167996969,6/23/2022,6/26/2022,20805,2305 Blanco Court,Arlington,Texas,"Sep 15, 2022",,,false,,
zcrm_1781014000167996274,6/23/2022,9/2/2022,331301,601 N Spring,Grand Saline,Texas,,,,false,,
zcrm_1781014000167991604,6/23/2022,6/26/2022,77850,605 N. Bromley,Scranton,Pennsylvania,,,,false,,
zcrm_1781014000167898369,6/23/2022,6/29/2022,210220,2811 Vernon Ave.,Austin,Texas,,,,false,,
zcrm_1781014000167898041,6/23/2022,6/23/2022,126478,1208 Taylor Creek Dr.,Mesquite,Texas,,,,false,,
zcrm_1781014000167891866,6/23/2022,6/23/2022,29985,115 Oakbluff Cv,Lakeway,Texas,,,,false,,
zcrm_1781014000167869499,6/23/2022,8/30/2022,3525,824 Stone Mountain Dr.,Conroe,Texas,,,,false,,
zcrm_1781014000167867732,6/23/2022,6/23/2022,144585,4201 Rosebelle Ave,Killeen,Texas,,,,false,,
zcrm_1781014000167851348,6/23/2022,7/6/2022,58150,168 Blushing Dr,Buda,Texas,,,,false,,
zcrm_1781014000167840937,6/23/2022,6/26/2022,35977,16708 French Harbour Ct.,Austin,Texas,,,,false,,
zcrm_1781014000167840440,6/23/2022,9/12/2022,59446,4079 Chevy Chase Lane,Frisco,Texas,,,,false,,
zcrm_1781014000167840082,6/23/2022,6/23/2022,125542,201 Avena Trl,Lakeway,Texas,,,,false,,
zcrm_1781014000167822965,6/23/2022,6/23/2022,65939,344 Lone Mountain Dr.,Katy,Texas,,,,false,,
zcrm_1781014000167690004,6/23/2022,8/22/2022,126101,2219 Field Lane,Bedford,Texas,,,,false,,
zcrm_1781014000167661397,6/23/2022,7/15/2022,98517,2410 S. Carlisle,PHILADELPHIA,Pennsylvania,,,,false,,
zcrm_1781014000167530182,6/22/2022,6/22/2022,210846,12661 Sunlight Drive,Dallas,Texas,,,,false,,
zcrm_1781014000167504899,6/22/2022,6/23/2022,48470,308 Brushy Hill Rd,Spicewood,Texas,,,,false,,
zcrm_1781014000167496041,6/22/2022,7/5/2022,343101,408 W Gay Street,West Chester,Pennsylvania,,,,false,,
zcrm_1781014000167464024,6/22/2022,6/22/2022,32991,312 E Newland Dr,Robinson,Texas,,,,false,,
zcrm_1781014000167462362,6/22/2022,6/28/2022,297572,221 Providence Place,Bullard,Texas,,,,false,,
zcrm_1781014000167462072,6/22/2022,7/27/2022,229978,310 Deer Run Court,Royersford,Pennsylvania,"Oct 12, 2022",,,false,,
zcrm_1781014000167460639,6/22/2022,6/22/2022,3554,10 FAIRWAY OAKS PLACE DR,THE WOODLANDS,Texas,,,,false,,
zcrm_1781014000167460332,6/22/2022,6/22/2022,51381,1830 Chino Valley Trail,Round Rock,Texas,,,,false,,
zcrm_1781014000167439795,6/22/2022,6/23/2022,267691,112 Springtree Bnd,Cibolo,Texas,,,,false,,
zcrm_1781014000167437567,6/22/2022,6/25/2022,200902,559 CR 129,Alice,Texas,,,,false,,
zcrm_1781014000167437213,6/22/2022,6/22/2022,62674,1654 Middle Rd,Denison,Texas,,,,false,,
zcrm_1781014000167427599,6/22/2022,7/14/2022,154320,540 County Road 4470,Decatur,Texas,,,,false,,
zcrm_1781014000167425807,6/22/2022,6/26/2022,64902,3312 Claymore Street,Killeen,Texas,,,,false,,
zcrm_1781014000167423946,6/22/2022,6/24/2022,7375,10400 Little Horn Cir.,Frisco,Texas,,,,false,,
zcrm_1781014000167418238,6/22/2022,6/22/2022,184653,620 High Meadow Dr.,Pleasanton,Texas,,,,false,,
zcrm_1781014000167416818,6/22/2022,6/22/2022,ID:9e2b915d-332e-4aff-acd2-69ceed7391b0,1650 Andy Way 89408,Fernley,Nevada,,,,false,,
zcrm_1781014000167416730,6/22/2022,7/11/2022,2325,6917 Westcoat Dr,Colleyville,Texas,,,,false,,
zcrm_1781014000167414354,6/22/2022,6/22/2022,65205,7901 Southwest Parkway #26,Austin,Texas,"Oct 13, 2022",,,false,,
zcrm_1781014000167405749,6/22/2022,6/22/2022,156304,393 Hogg Mountain Road,Killeen,Texas,,,,false,,
zcrm_1781014000167394524,6/22/2022,7/3/2022,83574,2413 Woodcrest Drive,East Stroudsburg,Pennsylvania,,,,false,,
zcrm_1781014000167390762,6/22/2022,6/22/2022,299025,2960 Reunion Blvd,Austin,Texas,,,,false,,
zcrm_1781014000167389818,6/22/2022,6/22/2022,2525,7967 Hanging Branch,San Antonio,Texas,"Sep 29, 2022",,,false,,
zcrm_1781014000167384937,6/22/2022,6/23/2022,98019,38 Deep Hollow Rd,Lancaster,Pennsylvania,"Sep 30, 2022",,,false,,
zcrm_1781014000167383674,6/22/2022,6/24/2022,5500,3405 Windy Harbor Drive,Austin,Texas,,,,false,,
zcrm_1781014000167383606,6/22/2022,6/22/2022,133161,700 S Adams Street,Mcgregor,Texas,,,,false,,
zcrm_1781014000167268368,6/22/2022,7/8/2022,171882,757 Gulf Ave,Port Neches,Texas,,,,false,,
zcrm_1781014000167259178,6/22/2022,7/5/2022,5673,105 St. Lucia Cv,Lakeway,Texas,"Oct 10, 2022",,,false,,
zcrm_1781014000167126550,6/21/2022,6/23/2022,6657,3725 Valley View Ln,Flower Mound,Texas,,,,false,,
zcrm_1781014000167102476,6/21/2022,6/27/2022,177022,2308 Clermont Lane,Denton,Texas,"Sep 21, 2022",,,false,,
zcrm_1781014000167102091,6/21/2022,6/21/2022,139823,1614 North Sky Soldier Road,Weslaco,Texas,,,,false,,
zcrm_1781014000167094734,6/21/2022,6/21/2022,169277,805 Bradley Drive,Athens,Texas,"Oct 3, 2022",,,false,,
zcrm_1781014000167093198,6/21/2022,9/8/2022,132124,15803 Bellister St.,Selma,Texas,,,,true,,
zcrm_1781014000167085212,6/21/2022,7/6/2022,29087,6250 Kenneth Capshaw Place,El Paso,Texas,"Oct 14, 2022",,,false,,
zcrm_1781014000167081329,6/21/2022,6/23/2022,257426,106 Cedar Street,Leonard,Texas,,,,false,,
zcrm_1781014000167080122,6/21/2022,7/1/2022,117907,5615 Barremore Street,Houston,Texas,,,,false,,
zcrm_1781014000167080032,6/21/2022,6/21/2022,5671,300 Barton Ranch,Dripping Springs,Texas,"Sep 22, 2022",,,false,,
zcrm_1781014000167076387,6/21/2022,6/28/2022,109262,6611 Brightonwood Ct,Spring,Texas,,,,false,,
zcrm_1781014000167074279,6/21/2022,6/21/2022,5049,2817 Gillingham Ln,McKinney,Texas,,,,false,,
zcrm_1781014000167073470,6/21/2022,6/22/2022,43235,1824 Real Dr,Waco,Texas,,,,true,,
zcrm_1781014000167071939,6/21/2022,6/21/2022,53329,1707 Quail Ridge Drive,Katy,Texas,,,,false,,
zcrm_1781014000167061960,6/21/2022,7/1/2022,23199,1906 Pueblo,Midland,Texas,,,,false,,
zcrm_1781014000166925515,6/21/2022,7/1/2022,5300,6504 Genoa Road,Fort Worth,Texas,,,,false,,
zcrm_1781014000166925418,6/21/2022,6/21/2022,260403,7704 Emerson Lane,Flower Mound,Texas,,,,false,,
zcrm_1781014000166877842,6/21/2022,6/21/2022,5176,4217 E Pleasant Forest St,Arlington,Texas,,,,false,,
zcrm_1781014000166877754,6/21/2022,6/21/2022,107674,1234 Schitt's Creek,Austin,Texas,,,,false,,
zcrm_1781014000166876634,6/21/2022,6/22/2022,126478,1208 Taylor Creek Dr.,Mesquite,Texas,,,,false,,
zcrm_1781014000166665712,6/21/2022,6/21/2022,61905,955 County Road 1744,Chico,Texas,,,,false,,
zcrm_1781014000166630000,6/20/2022,6/20/2022,114801,407 S. 3rd St,Bellwood,Pennsylvania,,,,false,,
zcrm_1781014000166624178,6/20/2022,6/20/2022,ID:bb4d8af1-ede9-476a-baab-cf5d3cb1b9ef,28 Park Mirage Lane 92270,Rancho Mirage,California,,,,false,,
zcrm_1781014000166614380,6/20/2022,6/20/2022,114488,1410 Shannon Valley Drive,Houston,Texas,,,,false,,
zcrm_1781014000166614309,6/20/2022,7/1/2022,63258,11939 Curtis Hill,San Antonio,Texas,"Sep 26, 2022",,,false,,
zcrm_1781014000166602772,6/20/2022,6/20/2022,280720,16205 Private Road 1740,Lubbock,Texas,,,,false,,
zcrm_1781014000166601238,6/20/2022,6/26/2022,124994,1910 Windy Peach,Houston,Texas,,,,false,,
zcrm_1781014000166597136,6/20/2022,6/20/2022,9502,2529 Jackson Dr,Lewisville,Texas,"Sep 8, 2022",,,false,,
zcrm_1781014000166595567,6/20/2022,6/20/2022,121004,10749 Astoria Drive,Frisco,Texas,,,,false,,
zcrm_1781014000166577561,6/20/2022,6/21/2022,127411,4747 Sansom Street,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000166575098,6/20/2022,6/20/2022,126100,2201 Mission Hill Circle,Austin,Texas,,,,false,,
zcrm_1781014000166565225,6/20/2022,6/22/2022,41869,11979 FM 344 W,Bullard,Texas,,,,false,,
zcrm_1781014000166563481,6/20/2022,6/22/2022,6170,3846 Lancelot Place,Garland,Texas,,,,false,,
zcrm_1781014000166559259,6/20/2022,7/2/2022,4187,1424 W Peters Colony Road,Carrollton,Texas,"Sep 22, 2022",,,false,,
zcrm_1781014000166557651,6/20/2022,6/20/2022,307098,85 Price Drive,Clyde,North Carolina,,,,false,,
zcrm_1781014000166557595,6/20/2022,6/22/2022,58994,6905 Stephens Hill Rd.,Forest Hill,Texas,"Sep 12, 2022",,,false,,
zcrm_1781014000166548103,6/20/2022,6/25/2022,256050,"7655 S Braeswood Blvd, Apt 9",Houston,Texas,"Sep 1, 2022",,,false,,
zcrm_1781014000166514408,6/20/2022,6/20/2022,202975,214 Sperry,Red Oak,Texas,,,,false,,
zcrm_1781014000166511971,6/20/2022,6/20/2022,186584,1131 Berger St,Austin,Texas,,,,false,,
zcrm_1781014000166268262,6/19/2022,6/20/2022,193278,1826A Wichita St,Houston,Texas,,,,false,,
zcrm_1781014000166264717,6/19/2022,6/21/2022,179897,697 Doss Ln.,Moody,Texas,,,,false,,
zcrm_1781014000166251707,6/19/2022,6/19/2022,5622,706 W Mary,Austin,Texas,,,,false,,
zcrm_1781014000166228566,6/18/2022,6/18/2022,ID:faa276ee-9b73-46dd-a04b-917a5f0c9f47,842 N New Ballas 63141,Creve Couer,Missouri,,,,false,,
zcrm_1781014000166224190,6/18/2022,7/22/2022,235200,7626 Pheasant Run Ln,Humble,Texas,"Sep 7, 2022",,,false,,
zcrm_1781014000166215170,6/18/2022,6/18/2022,979,331 Shin Oak Dr,San Antonio,Texas,,,,false,,
zcrm_1781014000166208624,6/18/2022,6/19/2022,329568,7037 Ogontz Ave,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000166195215,6/18/2022,6/21/2022,43498,3201 W. FM 243,Bertram,Texas,"Sep 29, 2022",,,false,,
zcrm_1781014000166182922,6/18/2022,9/6/2022,329756,8175 CR 2419,Royce City,Texas,,,,false,,
zcrm_1781014000166137261,6/17/2022,6/29/2022,219698,12166 Metric Blvd Unit 341,Austin,Texas,,,,false,,
zcrm_1781014000166128689,6/17/2022,6/18/2022,10957,4522 Charles Williams Pl,San Antonio,Texas,"Sep 12, 2022",,,false,,
zcrm_1781014000166123992,6/17/2022,6/29/2022,143880,503 Lombard St,Perkasie,Pennsylvania,"Sep 29, 2022",,,false,,
zcrm_1781014000166117876,6/17/2022,8/3/2022,341293,1403 W Second Street,Tyler,Texas,,,,false,,
zcrm_1781014000166099037,6/17/2022,6/24/2022,143404,1406 Regalia Ct,Houston,Texas,,,,false,,
zcrm_1781014000166076732,6/17/2022,9/6/2022,340918,90 Hicks Loop W,Cleveland,Texas,,,,false,,
zcrm_1781014000166046990,6/17/2022,6/17/2022,341162,2402 Storey,Midland,Texas,,,,false,,
zcrm_1781014000166044842,6/17/2022,6/20/2022,9266,3840 Arborlawn Drive,Ft. Worth,Texas,,,,false,,
zcrm_1781014000166040949,6/17/2022,8/10/2022,69162,1344 Dobson Drive,Waxhaw,North Carolina,"Sep 20, 2022",,,false,,
zcrm_1781014000166036382,6/17/2022,8/1/2022,18798,22012 Verbena Parkway,Spicewood,Texas,,,,false,,
zcrm_1781014000166030966,6/17/2022,6/21/2022,3685,1705 Barbara,Austin,Texas,,,,false,,
zcrm_1781014000166029701,6/17/2022,6/20/2022,110187,3162 Crest Dr,Port Neches,Texas,,,,false,,
zcrm_1781014000166027582,6/17/2022,6/24/2022,189608,21 Woodesdge Road,Norristown,Pennsylvania,,,,false,,
zcrm_1781014000166027170,6/17/2022,6/17/2022,133161,112 W H Street,Meridian,Texas,,,,false,,
zcrm_1781014000166020487,6/17/2022,6/18/2022,4719,2436 Dove Creek Drive,Little Elm,Texas,,,,false,,
zcrm_1781014000166020407,6/17/2022,6/19/2022,228278,393 County Road 3368,Kempner,Texas,,,,false,,
zcrm_1781014000166020166,6/17/2022,6/21/2022,77254,1728 Edgmont Avenue,Chester,Pennsylvania,,,,false,,
zcrm_1781014000166002284,6/17/2022,6/19/2022,4307,2812 Faro Rd,Aubrey,Texas,"Sep 12, 2022",,,false,,
zcrm_1781014000165889964,6/17/2022,6/19/2022,339485,527 Hazeltine Road,Red Oak,Texas,"Sep 15, 2022",,,true,,
zcrm_1781014000165884973,6/17/2022,6/17/2022,291192,9011 Harbour Town,Selma,Texas,,,,false,,
zcrm_1781014000165879066,6/17/2022,9/7/2022,331301,620 PR 7844,Hawkins,Texas,"Sep 30, 2022",,,true,,
zcrm_1781014000165871917,6/17/2022,7/5/2022,109962,708 N. Daniels,Carthage,Texas,,,,false,,
zcrm_1781014000165820096,6/16/2022,6/16/2022,ID:dcdbefd4-5de0-4fed-ad47-358ad2c2052f,"27704 Havana Ave, Hayward CA 94544-5006 94544-5006",Hayward,California,"Sep 13, 2022",,,false,,
zcrm_1781014000165777249,6/16/2022,6/17/2022,161362,10223 Trail Ridge Drive,Benbrook,Texas,,,,false,,
zcrm_1781014000165775072,6/16/2022,6/17/2022,ID:594fc3c2-a592-400a-95be-4b66c2460b12,2177 Barberry Way 89512,Reno,Nevada,,,,false,,
zcrm_1781014000165767686,6/16/2022,6/16/2022,21242,"157 S Ridge Dr, Cedar Creek, TX 78612",Cedar Creek,Texas,,,,false,,
zcrm_1781014000165764183,6/16/2022,6/17/2022,14673,2308 Acacia Drive,Richardson,Texas,"Oct 6, 2022",,,false,,
zcrm_1781014000165761239,6/16/2022,6/17/2022,260852,16604 Mixtli Cove,Leander,Texas,,,,false,,
zcrm_1781014000165745522,6/16/2022,6/17/2022,ID:150abce0-54c6-40d9-a70a-bc69de9edf79,472733 East 754 Road 74965,Westville,Oklahoma,,,,false,,
zcrm_1781014000165740152,6/16/2022,6/28/2022,44122,155 Courtney Bay Ln,Argyle,Texas,,,,false,,
zcrm_1781014000165739076,6/16/2022,6/21/2022,64902,2207 Modoc Dr.,Harker Heights,Texas,,,,false,,
zcrm_1781014000165730538,6/16/2022,6/16/2022,61288,497 Quail Run Rd.,Sherman,Texas,,,,false,,
zcrm_1781014000165722549,6/16/2022,7/23/2022,5267,413 Silver Lane,Azle,Texas,,,,false,,
