Ã¯Â»Â¿Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong,,
zcrm_1781014000168799358,6/27/2022,6/27/2022,43838,2930 Waters Edge,Quinlan,Texas,,,,false,,
zcrm_1781014000168668251,6/27/2022,6/27/2022,90082,120 Randon Lane,Hazleton,Pennsylvania,,,,false,,
zcrm_1781014000168666369,6/27/2022,6/27/2022,49946,1996 Westvalley Pl,Round Rock,Texas,,,,false,,
zcrm_1781014000168630934,6/26/2022,6/30/2022,128851,982 County Road 676,Dayton,Texas,,,,false,,
zcrm_1781014000168630387,6/26/2022,7/7/2022,292933,7604 Chestnut Drive,North Richland Hills,Texas,,,,false,,
zcrm_1781014000168625207,6/26/2022,6/29/2022,3708,914 W 22 1/2 #305,Austin,Texas,,,,false,,
zcrm_1781014000168622447,6/26/2022,6/26/2022,275850,1200 Cuero dr,Garland,Texas,,,,false,,
zcrm_1781014000168612064,6/26/2022,7/6/2022,127838,1440 S Hicks St.,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000168586729,6/26/2022,6/28/2022,2221,8692 FM 16,Van,Texas,,,,false,,
zcrm_1781014000168564246,6/25/2022,6/26/2022,317611,103 Hebron Lane,Sylva,North Carolina,,,,false,,
zcrm_1781014000168559111,6/25/2022,6/25/2022,341384,249 County Road 817,Buna,Texas,,,,false,,
zcrm_1781014000168550744,6/25/2022,6/27/2022,20682,805 Trenton Street,Weatherford,Texas,,,,false,,
zcrm_1781014000168546578,6/25/2022,6/26/2022,20682,1812 Circleview Drive,Weatherford,Texas,,,,false,,
zcrm_1781014000168524711,6/25/2022,6/25/2022,339562,710 Colorado,Austin,Texas,"Jul 18, 2022",,,false,,
zcrm_1781014000168479283,6/24/2022,6/24/2022,ID:5502d201-cd13-4f28-98c9-2a4de85be5f5,"2036 Cobblefield Way, Glendora CA 91740-6708 91740-6708",Glendora,California,,,,false,,
zcrm_1781014000168417432,6/24/2022,6/26/2022,205568,5601 St Hwy 361 #109,Port Aransas,Texas,,,,false,,
zcrm_1781014000168015111,6/23/2022,6/24/2022,ID:f0684590-be60-417d-ae3c-0b8717e34796,5490 County Road 620 63701,Cape Girardeau,Missouri,,,,false,,
zcrm_1781014000167464024,6/22/2022,6/22/2022,32991,312 E Newland Dr,Robinson,Texas,,,,false,,
zcrm_1781014000167460639,6/22/2022,6/22/2022,3554,10 FAIRWAY OAKS PLACE DR,THE WOODLANDS,Texas,,,,false,,
zcrm_1781014000167437567,6/22/2022,6/25/2022,200902,559 CR 129,Alice,Texas,,,,false,,
zcrm_1781014000167427599,6/22/2022,7/14/2022,154320,540 County Road 4470,Decatur,Texas,,,,false,,
zcrm_1781014000167423946,6/22/2022,6/24/2022,7375,10400 Little Horn Cir.,Frisco,Texas,,,,false,,
zcrm_1781014000167414354,6/22/2022,6/22/2022,65205,7901 Southwest Parkway #26,Austin,Texas,"Oct 13, 2022",,,false,,
zcrm_1781014000167394524,6/22/2022,7/3/2022,83574,2413 Woodcrest Drive,East Stroudsburg,Pennsylvania,,,,false,,
zcrm_1781014000167384937,6/22/2022,6/23/2022,98019,38 Deep Hollow Rd,Lancaster,Pennsylvania,"Sep 30, 2022",,,false,,
zcrm_1781014000166877754,6/21/2022,6/21/2022,107674,1234 Schitt's Creek,Austin,Texas,,,,false,,
zcrm_1781014000166876634,6/21/2022,6/22/2022,126478,1208 Taylor Creek Dr.,Mesquite,Texas,,,,false,,
zcrm_1781014000166665712,6/21/2022,6/21/2022,61905,955 County Road 1744,Chico,Texas,,,,false,,
zcrm_1781014000166601238,6/20/2022,6/26/2022,124994,1910 Windy Peach,Houston,Texas,,,,false,,
zcrm_1781014000166575098,6/20/2022,6/20/2022,126100,2201 Mission Hill Circle,Austin,Texas,,,,false,,
zcrm_1781014000166565225,6/20/2022,6/22/2022,41869,11979 FM 344 W,Bullard,Texas,,,,false,,
zcrm_1781014000166268262,6/19/2022,6/20/2022,193278,1826A Wichita St,Houston,Texas,,,,false,,
zcrm_1781014000166224190,6/18/2022,7/22/2022,235200,7626 Pheasant Run Ln,Humble,Texas,"Sep 7, 2022",,,false,,
zcrm_1781014000166195215,6/18/2022,6/21/2022,43498,3201 W. FM 243,Bertram,Texas,"Sep 29, 2022",,,false,,
zcrm_1781014000166182922,6/18/2022,9/6/2022,329756,8175 CR 2419,Royce City,Texas,,,,false,,
zcrm_1781014000166027582,6/17/2022,6/24/2022,189608,21 Woodesdge Road,Norristown,Pennsylvania,,,,false,,
zcrm_1781014000165820096,6/16/2022,6/16/2022,ID:dcdbefd4-5de0-4fed-ad47-358ad2c2052f,"27704 Havana Ave, Hayward CA 94544-5006 94544-5006",Hayward,California,"Sep 13, 2022",,,false,,
zcrm_1781014000165764183,6/16/2022,6/17/2022,14673,2308 Acacia Drive,Richardson,Texas,"Oct 6, 2022",,,false,,
zcrm_1781014000165719271,6/16/2022,6/16/2022,338026,411 Arden Oaks Cir,Cape Carteret,North Carolina,,,,false,,
zcrm_1781014000165682506,6/16/2022,6/16/2022,275655,3402 Garrott St. Unit #10,Houston,Texas,,,,false,,
zcrm_1781014000165563279,6/16/2022,6/16/2022,68098,6501 E Hill Dr #311,Austin,Texas,,,,false,,
zcrm_1781014000165252131,6/14/2022,6/14/2022,301022,1372 Sconsett Way,State College,Pennsylvania,"Sep 12, 2022",,,false,,
zcrm_1781014000165169172,6/14/2022,6/15/2022,211828,125 Tumble Court,East Stroudsburg,Pennsylvania,"Aug 12, 2022",,,true,,
zcrm_1781014000165084784,6/14/2022,7/1/2022,3670,410 Coopers Bend Rd,Spicewood,Texas,,,,false,,
zcrm_1781014000165078903,6/14/2022,6/21/2022,51639,1110 Marstellar Avenue,College Station,Texas,"Sep 16, 2022",,,false,,
zcrm_1781014000164808498,6/13/2022,6/13/2022,225304,11131 Cupflower,San Antonio,Texas,,,,false,,
zcrm_1781014000164685673,6/13/2022,6/17/2022,338642,7862 Hendrick Farm,San Antonio,Texas,"Aug 12, 2022",,,true,,
zcrm_1781014000164644746,6/13/2022,6/15/2022,129167,1028 Chad Loop,Round Rock,Texas,,,,true,,
zcrm_1781014000164599694,6/13/2022,6/16/2022,335868,4123 Crosswinds Street,Burleson,Texas,,,,false,,
zcrm_1781014000164519945,6/12/2022,6/12/2022,244836,4427 SW 14th,Amarillo,Texas,,,,false,,
zcrm_1781014000164410710,6/11/2022,6/13/2022,60626,25051 CR 350,Mathis,Texas,,,,false,,
zcrm_1781014000164397927,6/11/2022,8/22/2022,71791,1016 Clemente Ct.,Midland,Texas,,,,false,,
zcrm_1781014000164328856,6/10/2022,6/12/2022,119050,1403 CR 2101,Kemp,Texas,,,,false,,
zcrm_1781014000164215611,6/10/2022,6/10/2022,240393,125 Landis Road,San Antonio,Texas,,,,false,,
zcrm_1781014000163676160,6/9/2022,6/14/2022,81514,544 Pinecrest Dr,Pocono Pines,Pennsylvania,,,,false,,
zcrm_1781014000162750967,6/8/2022,6/8/2022,123866,117 Brookedale Dr,League City,Texas,,,,false,,
zcrm_1781014000162385760,6/8/2022,6/8/2022,73450,2526 Branch Oaks,Garland,Texas,,,,false,,
zcrm_1781014000161937759,6/6/2022,6/6/2022,197354,1980 County Road 3040,Bonham,Texas,,,,false,,
zcrm_1781014000161892723,6/6/2022,7/21/2022,28608,1404 Haskell St. #2,Austin,Texas,,,,false,,
zcrm_1781014000161892595,6/6/2022,6/20/2022,40350,TBD County Road 134,Celina,Texas,,,,false,,
zcrm_1781014000161875677,6/6/2022,6/6/2022,48468,11812 Monterroso,Austin,Texas,,,,false,,
zcrm_1781014000161524962,6/4/2022,6/18/2022,586,2611 Eisenhower Road #1306,San Antonio,Texas,,,,false,,
zcrm_1781014000161484287,6/3/2022,7/1/2022,262993,116 S Hoopkins St,Sayre,Pennsylvania,,,,false,,
zcrm_1781014000161430597,6/3/2022,6/3/2022,80090,2586 Brookdale Rd,Scotrun,Pennsylvania,,,,false,,
zcrm_1781014000161236030,6/2/2022,6/3/2022,ID:d4389fa6-ca67-4980-aee4-d78074276fe6,255 Easy Street #12 94043,Mountain View,California,,,,false,,
zcrm_1781014000161164465,6/2/2022,6/3/2022,334737,1217 Connecticut Ave,Aliquippa,Pennsylvania,,,,false,,
zcrm_1781014000161138422,6/2/2022,6/2/2022,278183,104 Pineneedle Ct,Lackawaxen,Pennsylvania,,,,false,,
zcrm_1781014000161015275,6/2/2022,6/3/2022,3308,"1207 Village Dr, #1207",San Antonio,Texas,,,,false,,
zcrm_1781014000160743731,6/1/2022,6/4/2022,169489,3023 Bahar Drive,Arlington,Texas,,,,false,,
zcrm_1781014000160543577,5/31/2022,6/1/2022,83514,3190 Carobeth Drive Lot 194 Sec C,Tobyhanna,Pennsylvania,,,,false,,
zcrm_1781014000160466350,5/31/2022,5/31/2022,,813 W Live Oak Circle,Galveston,,,,,false,,
zcrm_1781014000160431784,5/31/2022,6/2/2022,211828,145 Seneca Trail,Dingmans Ferry,Pennsylvania,,,,false,,
zcrm_1781014000159965168,5/27/2022,5/28/2022,172391,6026 SCHAUMBURD DR,SPRING,Texas,,,,false,,
zcrm_1781014000159826579,5/27/2022,5/27/2022,220623,Tammy Horton,3918 Lake Star Dr.,Texas,,,,false,,
zcrm_1781014000159761123,5/27/2022,5/31/2022,213860,7225 NC Highway 62,Trinity,North Carolina,,,,false,,
zcrm_1781014000159585635,5/26/2022,6/2/2022,330977,103 County Road 180 #2,Cedar Park,Texas,,,,false,,
zcrm_1781014000159293548,5/26/2022,5/26/2022,7375,4060 Richardson St.,Malakoff,Texas,,,,false,,
zcrm_1781014000159095805,5/25/2022,5/25/2022,330413,592 Covington Cir,Calabash,North Carolina,,,,false,,
zcrm_1781014000159088375,5/25/2022,5/26/2022,79542,349 S 47th Street #A310,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000159075247,5/25/2022,5/27/2022,306341,884 Dobson's Knob Loop,Marion,North Carolina,,,,false,,
zcrm_1781014000158875531,5/24/2022,5/27/2022,203029,418 CR 530,Eastland,Texas,,,,false,,
zcrm_1781014000158796510,5/24/2022,5/24/2022,187136,16760 County Road 4225,Frankston,Texas,,,,false,,
zcrm_1781014000158728958,5/24/2022,5/24/2022,328998,909 Brentview Rd,Pittsburgh,Pennsylvania,,,,false,,
zcrm_1781014000158418605,5/23/2022,5/30/2022,72899,301 CR 439,Stockdale,Texas,,,,false,,
zcrm_1781014000158405300,5/23/2022,5/23/2022,1725,5011 Teall Falls,San Antonio,Texas,,,,false,,
zcrm_1781014000158249016,5/23/2022,8/6/2022,46200,15324 Milmo,Ft Worth,Texas,,,,false,,
zcrm_1781014000158144458,5/22/2022,6/21/2022,182127,250 CR 4380,Winnsboro,Texas,,,,false,,
zcrm_1781014000158021921,5/21/2022,5/24/2022,155621,1056 Neola Church Rd,Stroudsburg,Pennsylvania,,,,false,,
zcrm_1781014000157995061,5/20/2022,5/20/2022,73745,998 CR 3190,Colmesneil,Texas,,,,false,,
zcrm_1781014000157960957,5/20/2022,5/21/2022,21717,112705 Little Blue Stem Cove,Austin,Texas,,,,false,,
zcrm_1781014000157949440,5/20/2022,8/11/2022,70017,17106 Fable Springs Road,Cypress,Texas,,,,false,,
zcrm_1781014000157122657,5/18/2022,5/18/2022,89494,1067 Seven Nations Drive,Tobyhanna,Pennsylvania,,,,false,,
zcrm_1781014000157073985,5/18/2022,5/18/2022,11164,674 County Rd 232,Nacogdoches,Texas,,,,false,,
zcrm_1781014000157069756,5/18/2022,5/19/2022,13957,TBD County Road 4691,WALLER,Texas,,,,false,,
zcrm_1781014000157066847,5/18/2022,5/18/2022,328391,1714 Ealge Point Rd.,Crosby,Texas,,,,false,,
zcrm_1781014000156742680,5/17/2022,5/18/2022,172596,12200 S FM 730,Azle,Texas,,,,false,,
zcrm_1781014000156728631,5/17/2022,5/30/2022,21540,1139 Gunter St #A,Austin,Texas,,,,false,,
zcrm_1781014000156688969,5/17/2022,5/18/2022,112107,4127 Cypress Creek Dr,Spring,Texas,,,,false,,
zcrm_1781014000156666619,5/17/2022,5/18/2022,6138,2220 Canton Street #202,Dallas,Texas,"Sep 29, 2022",,,false,,
zcrm_1781014000156352328,5/16/2022,5/18/2022,32454,4704 SCR 1200,Midland,Texas,,,,false,,
zcrm_1781014000156264384,5/16/2022,5/19/2022,95122,14086 US 322,Brookville,Pennsylvania,,,,false,,
zcrm_1781014000156138692,5/16/2022,5/16/2022,51770,1725 Harvey Mitchell Pkwy #2314,College Station,Texas,,,,false,,
zcrm_1781014000156081679,5/15/2022,5/17/2022,101024,3816 Roseland Avenue #C300,Dallas,Texas,,,,false,,
zcrm_1781014000155893735,5/13/2022,5/16/2022,7410,210 Laurel Ridge Circle,Sherman,Texas,"Sep 13, 2022",,,false,,
zcrm_1781014000155883801,5/13/2022,5/13/2022,143144,10157 Private Road 367,Hawley,Texas,,,,false,,
zcrm_1781014000155826810,5/13/2022,5/15/2022,113833,11400 Starling Ranch Trl,Fort Worth,Texas,,,,false,,
zcrm_1781014000155677376,5/13/2022,5/16/2022,308295,1196 Route 590,Rowland,Pennsylvania,,,,false,,
zcrm_1781014000155518897,5/12/2022,5/12/2022,159705,5076 Red Rock Road,Franklin,Texas,,,,false,,
zcrm_1781014000155371265,5/12/2022,5/12/2022,178479,4810 Silverleaf Ct,Temple,Texas,,,,false,,
zcrm_1781014000154970500,5/11/2022,5/11/2022,266190,5010 Wingfoot Drive,Corpus Christi,Texas,,,,false,,
zcrm_1781014000154921643,5/11/2022,5/12/2022,109039,1509 Cr 119B,Burnet,Texas,,,,false,,
zcrm_1781014000154656044,5/10/2022,5/11/2022,311170,1256 Aldrich Road,Millerton,Pennsylvania,,,,false,,
zcrm_1781014000154635947,5/10/2022,5/11/2022,68468,3115 W Stafford,Denison,Texas,,,,false,,
zcrm_1781014000154577500,5/10/2022,5/10/2022,55694,5870 STATE HWY 135 N,JACKSONVILLE,Texas,,,,false,,
zcrm_1781014000154393781,5/10/2022,5/10/2022,76500,2101N Arcadia Loop,Kerrville,Texas,,,,false,,
zcrm_1781014000154075753,5/9/2022,5/9/2022,120889,329 Sutton Street,San Leon,Texas,,,,false,,
zcrm_1781014000154006011,5/9/2022,5/10/2022,ID:1941c87d-661e-4689-bdce-3cfbee6ddd5b,"255 N. Sierra St., Unit #511 89501",Reno,Nevada,,,,false,,
zcrm_1781014000153991570,5/9/2022,5/9/2022,286249,365 E. Harborside Rd,Oriental,North Carolina,,,,false,,
zcrm_1781014000153503203,5/6/2022,5/6/2022,117394,1443 Otter Street,Franklin,Pennsylvania,,,,false,,
zcrm_1781014000153498028,5/6/2022,5/8/2022,76398,6053 County Road 2297,Quinlan,Texas,,,,false,,
zcrm_1781014000153238810,5/5/2022,5/7/2022,211754,166 Devil's Hole Road,Cresco,Pennsylvania,,,,false,,
zcrm_1781014000152199525,5/3/2022,5/4/2022,185351,8719 STONE HOLLOW RD,Temple,Texas,,,,false,,
zcrm_1781014000151948160,5/2/2022,5/2/2022,1179,6508 FM RD 307,Midland,Texas,,,,false,,
zcrm_1781014000151652933,4/30/2022,4/30/2022,286249,588 E. Harborside Rd,Oriental,North Carolina,,,,false,,
zcrm_1781014000151327749,4/29/2022,4/30/2022,ID:7758e276-3f63-4fb4-83db-e6e723b09ae8,"2383 Independence Rd, Railroad Flat CA 95248 95248",Railroad Flat,California,,,,false,,
zcrm_1781014000151194508,4/28/2022,4/29/2022,223802,2101 CR 219,Florence,Texas,,,,false,,
zcrm_1781014000150915912,4/27/2022,4/28/2022,120731,5922 Echoway,San Antonio,Texas,,,,false,,
zcrm_1781014000150484305,4/26/2022,4/26/2022,123832,18418 CR 2106,Arp,Texas,,,,false,,
zcrm_1781014000150148106,4/25/2022,4/25/2022,112959,1228 Highway 73,Winnie,Texas,,,,false,,
zcrm_1781014000150083086,4/25/2022,4/25/2022,ID:150abce0-54c6-40d9-a70a-bc69de9edf79,84356 S 4725 road 74960-3806,STILWELL,Oklahoma,"Sep 9, 2022",,,false,,
zcrm_1781014000149837289,4/23/2022,6/30/2022,51959,5307 Daniels Ln.,Richmond,Texas,,,,false,,
zcrm_1781014000149679612,4/22/2022,4/22/2022,76500,"Rancho Paula Verde East, LOT 16, AC 69.",Roclksprings,Texas,,,,false,,
zcrm_1781014000149171116,4/21/2022,4/21/2022,166746,1471 NW County Road 2020,Corsicana,Texas,,,,false,,
zcrm_1781014000148840630,4/20/2022,4/20/2022,72000,10327 Briar Rose Dr.,Houston,Texas,,,,false,,
zcrm_1781014000148754528,4/20/2022,4/20/2022,208116,812 Marrietta Ln,Aubrey,Texas,,,,false,,
zcrm_1781014000148620736,4/19/2022,5/18/2022,169598,3678 Hidden Drive #101,San Antonio,Texas,,,,false,,
zcrm_1781014000148605619,4/19/2022,4/19/2022,89494,131 Comanche Trail,Pocono Lake,Pennsylvania,,,,false,,
zcrm_1781014000148571463,4/19/2022,8/8/2022,114850,6305 Opal Hill Courth,Fort Worth,Texas,,,,false,,
zcrm_1781014000148527483,4/19/2022,4/21/2022,62681,509 N State Highway 359,Mathis,Texas,,,,false,,
zcrm_1781014000148121145,4/18/2022,4/18/2022,3247,529 Candlegloo,Windcrest,Texas,,,,false,,
zcrm_1781014000147670997,4/15/2022,4/16/2022,128591,20100 Old Highway 105 Tiny Home,Cleveland,Texas,,,,false,,
zcrm_1781014000147588470,4/14/2022,4/14/2022,288029,359 CR 3605,Bullard,Texas,,,,false,,
zcrm_1781014000147413313,4/14/2022,4/14/2022,280757,1990 Justin,Highland village,Texas,,,,false,,
zcrm_1781014000147366964,4/14/2022,8/9/2022,67644,3207 Rooyal Courtside Avenue,Houston,Texas,,,,false,,
zcrm_1781014000146971723,4/12/2022,6/8/2022,237347,6449 Stotle Lane,Fort Worth,Texas,,,,false,,
zcrm_1781014000146954390,4/12/2022,4/21/2022,202749,2501 Buckley Lane,Round Rock,Texas,,,,false,,
zcrm_1781014000146830557,4/12/2022,4/13/2022,130019,105 Shawnee Dr,Hallsville,Texas,,,,false,,
zcrm_1781014000146711567,4/11/2022,4/11/2022,194880,2206 Delta,Longview,Texas,,,,false,,
zcrm_1781014000146660231,4/11/2022,4/11/2022,62641,3602 Shouse Rd,Santa Fe,Texas,,,,false,,
zcrm_1781014000146556681,4/11/2022,4/22/2022,ID:877d91b5-1f44-4f0e-b8af-1011ed7b3fdf,130 Goss Ave 95060,Santa Cruz,California,,,,false,,
zcrm_1781014000146196720,4/9/2022,4/11/2022,211763,437 Westcolang Road,Hawley,Pennsylvania,,,,false,,
zcrm_1781014000146178542,4/8/2022,4/11/2022,149821,2300 Olive Circle,Baytown,Texas,,,,false,,
zcrm_1781014000146133481,4/8/2022,4/8/2022,104730,17995 Country Club Drive,Kemp,Texas,,,,false,,
zcrm_1781014000145217225,4/5/2022,4/6/2022,76597,232 CR 144A,Marble Falls,Texas,,,,false,,
zcrm_1781014000144890011,4/4/2022,4/5/2022,239992,1010 CR 151,Carthage,Texas,,,,false,,
zcrm_1781014000144877088,4/4/2022,4/4/2022,166600,10242 Flynn Rd.,Warren,Texas,,,,false,,
zcrm_1781014000144634669,4/2/2022,4/2/2022,143147,1040 Timothy Lane,Abilene,Texas,,,,false,,
zcrm_1781014000144236753,3/31/2022,4/12/2022,40386,400 Hale Place3,Van Alstyne,Texas,,,,false,,
zcrm_1781014000143693126,3/29/2022,3/29/2022,303535,9800 FM 150 W,Driftwood,Texas,,,,false,,
zcrm_1781014000143256071,3/28/2022,3/30/2022,188924,9204 Ratliff Ridge Ave.,Odessa,Texas,,,,false,,
zcrm_1781014000143053282,3/27/2022,4/1/2022,277488,2210 Apley Ct,Bushkill,Pennsylvania,,,,false,,
zcrm_1781014000142907753,3/25/2022,3/26/2022,265102,1079 Anderson County Road 446,Palestine,Texas,,,,false,,
zcrm_1781014000142892526,3/25/2022,3/25/2022,,1122 East Leland Road # 152,Pittsburgh,,,,,false,,
zcrm_1781014000142106127,3/22/2022,3/22/2022,2870,810 Martin Luther King Dr. Bldg 2,San Antonio,Texas,,,,false,,
zcrm_1781014000141813149,3/21/2022,4/1/2022,70455,5420 Tupelo Drive,Plano,Texas,,,,false,,
zcrm_1781014000141295270,3/18/2022,3/20/2022,162033,8663 Charter Pt,San Antonio,Texas,,,,false,,
zcrm_1781014000140677785,3/16/2022,3/17/2022,156772,19985 CR 445,LINDALE,Texas,,,,false,,
zcrm_1781014000140626969,3/16/2022,3/16/2022,279171,2301 Harvard Oak Drive,Plano,Texas,,,,false,,
zcrm_1781014000140228900,3/15/2022,3/17/2022,713,4068 State Highway 97 E,Floresville,Texas,,,,false,,
zcrm_1781014000139639386,3/12/2022,3/17/2022,36324,4208 Wyatt St. #7,Pasadena,Texas,,,,false,,
zcrm_1781014000139581307,3/11/2022,3/12/2022,222495,0 N SCHARBAUER ST,goldsmith,Texas,,,,false,,
zcrm_1781014000139523242,3/11/2022,3/13/2022,74172,608 E 10th 1/2,Houston,Texas,,,,false,,
zcrm_1781014000139321404,3/10/2022,3/10/2022,26776,28710 Fitzroy Harbour,Katy,Texas,,,,false,,
zcrm_1781014000139298027,3/10/2022,7/22/2022,242768,312 N Douglas Street,Mart,Texas,,,,false,,
zcrm_1781014000139099491,3/9/2022,3/10/2022,79553,202 Plummer St,Oil City,Pennsylvania,,,,false,,
zcrm_1781014000139083088,3/9/2022,3/22/2022,56926,320 E State Hwy 46,Boerne,Texas,,,,false,,
zcrm_1781014000138684902,3/7/2022,3/9/2022,300838,11087 Dorrance lane,Meadows Place,Texas,,,,true,,
zcrm_1781014000138124020,3/3/2022,3/5/2022,193819,1104 FM 1564 W,Greenville,Texas,,,,false,,
zcrm_1781014000138105493,3/3/2022,3/3/2022,10215,21 Woodlodge,Huntsville,Texas,,,,false,,
zcrm_1781014000137845702,3/2/2022,4/1/2022,198602,10319 Greenwillow - Trojanowski,Houston,Texas,,,,false,,
zcrm_1781014000137308501,2/28/2022,2/28/2022,104465,7164 Texas R 2 Unit 306,Del Rio,Texas,,,,false,,
zcrm_1781014000137036542,2/25/2022,2/25/2022,63098,835 CR 304 E,Jarrell,Texas,,,,false,,
zcrm_1781014000136694698,2/24/2022,2/24/2022,204744,15265 Cliff Street,Hamshire,Texas,,,,false,,
zcrm_1781014000136331695,2/22/2022,2/22/2022,14024,1196/1198 Halpern,Houston,Texas,,,,false,,
zcrm_1781014000136288141,2/22/2022,2/22/2022,14210,123 Heidi Oaks,Houston,Texas,,,,false,,
zcrm_1781014000135527431,2/17/2022,2/17/2022,192529,213 Rae Anne Blvd,Livingston,Texas,,,,false,,
zcrm_1781014000135148735,2/16/2022,2/16/2022,199311,13569 Flower Pond,Saint Hedwig,Texas,,,,false,,
zcrm_1781014000134962592,2/15/2022,7/14/2022,185962,14717 Joy Lee Ln,Manor,Texas,,,,false,,
zcrm_1781014000134950081,2/15/2022,2/18/2022,79531,2818 W Master St,Philadelphia,Pennsylvania,,,,false,,
zcrm_1781014000134870228,2/14/2022,2/14/2022,ID:432eaa13-ee6b-4531-980e-03ba99ab2087,842 E Valley Blvd,Alhambra,California,"Feb 28, 2022",,,false,,
zcrm_1781014000134850129,2/14/2022,2/14/2022,48472,300 Bowie St #2902,Austin,Texas,,,,false,,
zcrm_1781014000134649877,2/13/2022,2/13/2022,,661 black champ rd,Waxahachie,,,,,false,,
zcrm_1781014000133827946,2/8/2022,2/8/2022,13099,923 West Stone Avenue,White Deer,Texas,,,,false,,
zcrm_1781014000133825576,2/8/2022,2/13/2022,252460,1527 Beaconshire Road,Houston,Texas,"May 6, 2022",,,true,,
zcrm_1781014000133817240,2/8/2022,2/8/2022,286842,Brent Mullinix,Raywood,Texas,,,,false,,
zcrm_1781014000133555001,2/7/2022,2/9/2022,352,1605 E. Paseo Circle,Brownfield,Texas,,,,false,,
zcrm_1781014000133448254,2/5/2022,2/5/2022,104465,7164 Texas R 2 Unit 106,Del Rio,Texas,"Feb 22, 2022",,,false,,
zcrm_1781014000132647370,2/1/2022,2/8/2022,203215,8277 Kingsbrook Road #252,Houston,Texas,,,,false,,
zcrm_1781014000132313421,1/31/2022,5/9/2022,247415,17636 Highway 36,Guy,Texas,"Sep 19, 2022",,,false,,
zcrm_1781014000132303699,1/31/2022,2/17/2022,222689,2347 Washington Blvd,Franklin,Pennsylvania,,,,false,,
zcrm_1781014000131956400,1/27/2022,1/27/2022,208617,107 fm1191,Bryson,Texas,,,,false,,
zcrm_1781014000131361498,1/24/2022,1/25/2022,47581,13490 FM 2095,Gause,Texas,,,,false,,
zcrm_1781014000130236204,1/17/2022,1/19/2022,211795,157 Wilbur Bloom Blvd,East Stroudsburg,Pennsylvania,,,,false,,
zcrm_1781014000129431107,1/11/2022,1/11/2022,232849,23860 CR 374,Gladewater,Texas,,,,false,,
zcrm_1781014000129339601,1/11/2022,1/11/2022,18867,18325 Branson Falls,San Antonio,Texas,,,,false,,
zcrm_1781014000129022050,1/10/2022,1/10/2022,129627,4027 FM 2091 N,Gonzales,Texas,,,,false,,
